 	sta	seduta	nel	giardino	nel	giardino	</S>
s	0.88564175	0.0531134408	0.01505563449	0.017642247145	0.0059156930142	0.0009373033292	0.0216938723941
t	0.87792206	0.0601311022667	0.01542133593	0.0179661946483	0.00591988574707	0.000938558759133	0.0217007940204
e	0.700770776667	0.275525092756	0.00733166687667	0.00671997804943	0.00198438376636	0.000317724830778	0.0073503509858
k	0.351996345556	0.633113324252	0.00660259455889	0.00343349734981	0.000746495233787	0.000177734381926	0.0039300204186
a	0.168709700852	0.745920854751	0.0790981049863	0.00303459608327	0.000356611104596	0.000133909397309	0.0027462226562
m	0.086182029284	0.799045651584	0.104011111329	0.00315903102776	0.000237545411532	0.000197389619103	0.00716722306873
m	0.153767503095	0.753902570528	0.0775972201097	0.00544073180925	0.000253437863844	0.000290853896368	0.00874768176624
è	0.197728761032	0.573607670176	0.218643716703	0.00650308160308	0.000183267781281	0.000183235560456	0.00315026757875
n	0.115339175011	0.605709430059	0.265696606901	0.00900941053436	0.000495118747094	0.000757905351819	0.00299232423958
i	0.0932767380037	0.517876226686	0.348993703634	0.0348152525115	0.000936397249031	0.00099265198394	0.00310900121319
s	0.0775887513346	0.361724928895	0.490284607878	0.0579340488372	0.00130252104968	0.000678870061313	0.0104862390711
t	0.0675016074449	0.283977272965	0.577915709293	0.0529065886124	0.00231300934989	0.00146620535377	0.0139195875904
o	0.069102153815	0.133055047655	0.575563023098	0.207751687204	0.0046342569833	0.00165008298459	0.00824373443013
g	0.0362206660717	0.0830915275517	0.368138861033	0.494359532401	0.0104703399944	0.000977404928197	0.00674166991004
i	0.0208633711572	0.0576881035172	0.195148199344	0.703053534134	0.0156890989981	0.000808200296066	0.00674951073668
a	0.0136401480857	0.0306007692724	0.0845563771147	0.848132994711	0.016123418166	0.000629322805355	0.00631696651223
r	0.00742526272857	0.0211926171908	0.0421202330382	0.83458968157	0.0462964058887	0.00256489545512	0.0458108987707
d	0.0611107222429	0.0262650623969	0.0566621820127	0.70491322719	0.0840204666296	0.00540418848504	0.0616241522569
ì	0.077147517281	0.019835471299	0.0526025190042	0.590508449063	0.224324175543	0.00486347916168	0.0307183527523
n	0.0275907614603	0.0124374695997	0.0276392140014	0.455600276354	0.430188378514	0.00926315188723	0.0372807049174
o	0.0221221406534	0.0161233491999	0.0348781126671	0.307143492118	0.536714126171	0.0286958999624	0.0543228563058
s	0.0202169442845	0.0147281236333	0.0332958082224	0.244926704039	0.546474068724	0.0372443266541	0.103114028769
t	0.0305577278282	0.0113364681111	0.0284570624075	0.198762678013	0.585328316241	0.0379839455514	0.107573806923
o	0.0352528069427	0.0114823027037	0.0281644091358	0.136251262671	0.60027725208	0.0709073718505	0.117664562974
c	0.0210997959809	0.0099764525679	0.0168601133786	0.148172634224	0.48166484736	0.128050560617	0.194175590991
ì	0.032411581327	0.013687858856	0.0187826044595	0.171007321408	0.36122545912	0.205373136872	0.19751204033
p	0.029630986409	0.011800786352	0.0163022603198	0.147873530469	0.238110929707	0.338967288957	0.217314206777
o	0.0113644165363	0.005125293784	0.00689441693993	0.103698830156	0.120538571236	0.352537779652	0.399840685592
</S>	0.00716162591815	0.003962130292	0.00502590396996	0.088929135078	0.076127652618	0.279652699826	0.539140842796
