 	io	nella	mia	vita	ho	sempre	lavorato	</S>
e	0.949387275	0.0331864138	0.002523033615	0.00518799714	0.00596583292085	0.00125957022725	0.0001661401808	0.00232375647115
v	0.772389958333	0.2034063646	0.00398564887167	0.00686924004667	0.00639335887362	0.00131675853575	0.000183845668933	0.00545484309038
ò	0.512504852778	0.4497461982	0.0115978159572	0.0145055520156	0.00472307309121	0.000560350151917	0.000100034201644	0.00626208966346
s	0.306073885593	0.520489026067	0.0360263679857	0.0377494256719	0.0145809129304	0.000696811063972	0.000657392970548	0.0837261593545
t	0.147914489198	0.630494678689	0.0570367593286	0.037563842124	0.0166675883101	0.000940922787991	0.000842060178183	0.108539680651
i	0.0848748937327	0.78536113623	0.0691554497762	0.016362187708	0.00677585329337	0.000596618275997	0.000305066306394	0.0365688108837
z	0.0618371462442	0.704295898743	0.149170253259	0.035927121336	0.0234870529545	0.001977103572	0.0018121464278	0.0214933067612
o	0.0731264924147	0.426350789581	0.371471911086	0.0765895157787	0.0310899849848	0.002521036424	0.00233852063427	0.0165117784537
ì	0.0721316028049	0.192071943194	0.572300823695	0.128068111926	0.0264142276616	0.001357736808	0.00102168786976	0.0066338742179
m	0.0308158176016	0.0924179880647	0.594340141232	0.196659467309	0.0629074312205	0.001743363436	0.00170522918992	0.0194105582726
m	0.0213249192005	0.0562346930216	0.606197980411	0.201099272436	0.0705889477402	0.0137926973453	0.00286742442997	0.0278940834242
u	0.0221566860668	0.0474217760072	0.46108381347	0.323988440812	0.101770679913	0.0256411457818	0.00236596754332	0.0155715326414
ì	0.0168906126889	0.0289553378357	0.195792781157	0.524774713604	0.195897819971	0.0243273485939	0.00397853078111	0.0093828477138
m	0.010751934563	0.0165347029452	0.0928871723857	0.489813597868	0.273691406657	0.0296525345313	0.0132878622604	0.0733807302379
e	0.008548197021	0.0109587305817	0.0505034871286	0.320135875956	0.387066925552	0.11151466651	0.0163520704201	0.0949200080793
p	0.00885060317367	0.0127968902939	0.0300746380429	0.198449125319	0.376183875184	0.23780877217	0.0465460238067	0.0892900773598
à	0.0114278250579	0.0151479424313	0.0243342963476	0.12088910844	0.237654451728	0.365154990723	0.111184841269	0.114206555787
n	0.010445402886	0.0120452018104	0.0160273044492	0.0578380201467	0.158948043909	0.437522896908	0.15970447709	0.147468628596
t	0.00680418169533	0.0105510269368	0.0151782454831	0.0268890617156	0.095156617303	0.548369598969	0.145272255697	0.151778946199
a	0.00540865483178	0.00725308161227	0.0141783843277	0.0247757549052	0.0638929717677	0.558031916323	0.198676538566	0.1277826254
p	0.00297791347726	0.00473421893742	0.0081723083759	0.0218300326351	0.0479183445892	0.333964342108	0.405385926189	0.175016878467
o	0.00589861729242	0.00503147464581	0.00662984055863	0.014997391545	0.0344233768631	0.205973967369	0.503188875396	0.223856412822
l	0.00796433109747	0.0068113174486	0.00816990285288	0.0152412103483	0.035213283621	0.149514982456	0.498600771799	0.278484154274
e	0.00932523736582	0.00762804938287	0.00870680661763	0.0145299922828	0.0334918095403	0.124363787485	0.4520767506	0.349877578091
m	0.00935764345527	0.00626726049429	0.00798834737254	0.0135069690943	0.0300367710134	0.104206343495	0.5023776302	0.326259019364
i	0.00919277248509	0.00565563443143	0.00765385362418	0.0129890690314	0.0274752975045	0.077635817165	0.5077209634	0.351676546455
m	0.00928081882836	0.00545760194381	0.00785764187473	0.0129580301771	0.0263013411682	0.0661151857217	0.513200374467	0.358828988818
m	0.00697618027612	0.00809837998127	0.0111107546249	0.00846175545903	0.0155928600561	0.0730339869072	0.626076758156	0.250649322939
è	0.00566673715871	0.00741216942709	0.0102586334083	0.00503767398634	0.00961465988537	0.0842555963024	0.443213728052	0.434540824313
n	0.00363164501957	0.00803262090903	0.0066325333361	0.00384568509545	0.00858206016179	0.0448688914341	0.475530974684	0.448875592438
a	0.00725129323986	0.00941537906968	0.00670807124537	0.00575600453182	0.0126601610539	0.046725352478	0.478695484895	0.432788231813
</S>	0.0112130021199	0.00689329268484	0.00621241782268	0.00823795726591	0.0161488335269	0.064625921239	0.269327797448	0.617340765906
