 	non	sono	andati	</S>
e	0.89837265	0.0449650535	0.018909447515	0.0377528396
n	0.705161406667	0.101697226833	0.0370718968383	0.1560694312
è	0.399026194222	0.349277392278	0.0647940632794	0.186902337067
c	0.181741536074	0.385175265426	0.175234341093	0.257848872356
h	0.105150471358	0.282072476475	0.324164973698	0.288612050785
u	0.083729483786	0.306374022158	0.386969084566	0.222927353595
n	0.0486188169287	0.217986927386	0.505672891522	0.227721364532
e	0.0340548579762	0.122372870795	0.610821730507	0.232750591511
p	0.0233211318087	0.060577948265	0.585748193502	0.330352753837
a	0.0103977496529	0.0285956920883	0.545303717834	0.415702831279
m	0.0060289635843	0.0177588380294	0.585650459278	0.39056171376
è	0.0080572563281	0.0151037366765	0.586520259759	0.390318704587
n	0.0090472445427	0.0198228465588	0.642769306586	0.328360583196
a	0.00396375434757	0.0163625309196	0.542675922195	0.436997822732
</S>	0.00261766977379	0.0091536965598	0.323322571098	0.664906111366
