 	l'	ho	sentito	che	viene	</S>
o	0.669578745	0.127568489	0.1335196978	0.0151231982605	0.00946371131005	0.0447461792057
n	0.352706471667	0.172632199667	0.193966565933	0.0239511407535	0.01029183807	0.246451796402
ì	0.145174703222	0.247157463222	0.250460498644	0.0341696475845	0.01399683699	0.309040832134
k	0.0695661507407	0.264193319741	0.265352732881	0.121635762528	0.0196075079967	0.259644504045
u	0.0604975539136	0.16963041858	0.24876080096	0.272377627509	0.0230273703322	0.225706208682
s	0.0540280798712	0.111498138193	0.20154051132	0.439077815836	0.0438246187774	0.150030806894
a	0.0291420651904	0.0588929460643	0.0913334581067	0.533146225279	0.165082372926	0.122402900631
n	0.0200117422635	0.0429886766881	0.0395756904356	0.46899505176	0.322528124309	0.105900688544
a	0.0136950969545	0.035328534896	0.0160778791119	0.293836085587	0.53599487477	0.105067549848
r	0.0109555677748	0.0232963912987	0.00749600010397	0.148577595196	0.719168424923	0.090506063616
t	0.0594021357149	0.0506692707662	0.011419085868	0.112636716732	0.551284074974	0.214588714539
i	0.0783082162383	0.0621786115887	0.0178432852893	0.0971304639107	0.363410751658	0.381128651513
</S>	0.0436572446191	0.0432160627944	0.0181083426446	0.0837214744553	0.364696015829	0.446600845756
