 	deve	che	entra	da	qui	</S>
è	0.831598125	0.015842184	0.08526385365	0.017944572701	0.0056094824279	0.04374174506
n	0.683117825	0.0221152856667	0.165070001217	0.0192835622337	0.0074316878093	0.102981611687
g	0.435814965	0.127465705556	0.319727490406	0.0144806180779	0.00443908127977	0.0980721385623
h	0.194770793667	0.210596385185	0.541093230135	0.0141245458926	0.00172662436326	0.0376884265208
i	0.137013833222	0.285845338395	0.555768176712	0.0075585570642	0.000684486580353	0.0131296091669
s	0.100109337074	0.278436616132	0.603640025571	0.00700018958807	0.000769493692718	0.010044293049
e	0.0905575716913	0.171538308711	0.70242567519	0.025441871196	0.000834169664239	0.00920235744967
n	0.0843861064304	0.11749861957	0.752446325063	0.0301720860653	0.00097992698808	0.0145169502499
a	0.0784957113435	0.07407080819	0.662467575021	0.166325635688	0.00116608962936	0.0174742275166
m	0.0766353526478	0.0586009040633	0.61599210834	0.219376245229	0.00144601587645	0.0279493819389
b	0.0591084814159	0.0398463800211	0.599215086113	0.22451226841	0.00893325495882	0.0683844859796
i	0.061105893472	0.0399228523404	0.309691648704	0.504400422803	0.0117769499863	0.0731021609932
a	0.0310530554907	0.0292829094468	0.120546826901	0.768515007601	0.0105828939954	0.0400192083311
p	0.0155046888302	0.0190126674823	0.055257483967	0.8388997692	0.0225419706651	0.048783361777
ò	0.0156170159434	0.0182988844941	0.0310383853223	0.825209989733	0.055968994555	0.053866727259
t	0.0125413931811	0.014728030498	0.0169245388408	0.563479889911	0.351458188185	0.0408679324197
t	0.0066156177937	0.009743156366	0.0167423910136	0.22080291897	0.648589482728	0.0975063874732
ù	0.0051685930979	0.00639002565533	0.0156058141045	0.11166657799	0.675080794243	0.186088179158
</S>	0.00393107549895	0.00400655282766	0.00910292170225	0.084201152995	0.675612947121	0.223145339579
