 	io	voglio	che	Maria	venga	qui	</S>
e	0.879150375	0.08858617555	0.0283034779	0.00144034174	0.0002903254905	0.00062751603755	0.0016017613275
v	0.856919241667	0.09879885185	0.0321956319667	0.00218812481333	0.000464431396833	0.000659091321183	0.00877463590917
ò	0.822211813889	0.131936287283	0.0314484569889	0.00195080293778	0.000387680948944	0.000271551000394	0.0117934295364
t	0.653631161296	0.232224102428	0.033177483663	0.00524097977926	0.00131316819965	0.00176691911813	0.0726461937455
è	0.463365953765	0.390600640809	0.0445895238877	0.00635178575975	0.00157740385988	0.00224583643373	0.0912688568962
l	0.265589450588	0.627233813603	0.0487701342959	0.0194548110866	0.00189930667996	0.0008674647056	0.0361850809464
o	0.208981426196	0.503589645534	0.232299841099	0.0342569590289	0.00262943929332	0.000408879546433	0.0178338826555
n	0.185829385399	0.389813436178	0.299075527033	0.095127418343	0.0141439753644	0.000241446186711	0.0157688068918
a	0.137140205133	0.355270263726	0.339874549011	0.128874310781	0.0234009597881	0.000221669122237	0.0152179890773
r	0.113445232378	0.213941239575	0.367022316337	0.208005791594	0.0790307412627	0.000331165224079	0.0182234581391
t	0.061590517126	0.200772099858	0.331208928779	0.280402147198	0.102679394754	0.000690780458026	0.022656117713
i	0.0768016697087	0.129865303286	0.474819419593	0.221151435733	0.080407800918	0.000827064952675	0.0161272969043
e	0.0662330169029	0.064517637762	0.368677827864	0.237400248578	0.251463445306	0.000813511127558	0.0108942995014
M	0.0259591206343	0.028870730854	0.164611853955	0.344899056193	0.414992248435	0.000892381719186	0.0197746027005
a	0.0914134332114	0.0261282385513	0.229970384652	0.328003642064	0.300320108478	0.000993371739729	0.0231708194335
r	0.114280276404	0.0436629935171	0.251872010217	0.313463287355	0.257214208493	0.00342046014658	0.0160867436778
ì	0.116245644135	0.110964291839	0.268990168739	0.259315599452	0.223270247631	0.00765697904886	0.0135570357259
a	0.113875592445	0.115089804446	0.273146992913	0.116588120151	0.28881131401	0.0578967020163	0.034591467742
e	0.0403837809817	0.0410637618153	0.131484510971	0.0851078500503	0.331066158003	0.294737427339	0.0761564992473
t	0.0159134003606	0.0163843403384	0.0805722423237	0.0610033466834	0.156145470668	0.583965799113	0.0860153797491
t	0.00855336705353	0.0137629196795	0.0537525161079	0.0362004748945	0.0772929542893	0.624064789704	0.18637296325
ù	0.00615235411784	0.0126314682932	0.0412039548693	0.0173587671982	0.0280647834964	0.639302396568	0.255286284417
</S>	0.00408054070892	0.0071119222466	0.0273064666847	0.0111924979491	0.0163713407482	0.715191598284	0.218745667209
