 	non	ci	dimentichiamo	mai	</S>
e	0.849640615	0.12955119655	0.00800133602	0.002739998021	0.01006690873
n	0.737373915	0.19416626885	0.0103468330067	0.00316330827367	0.0549497285767
è	0.511356558333	0.41243962295	0.00884613233557	0.00153865174456	0.0658190676589
n	0.256852049444	0.645147194317	0.00942766011186	0.00971628440152	0.078856807353
a	0.150450909815	0.736509664772	0.019176851704	0.0124288091505	0.0814337275843
a	0.076472752605	0.846814454924	0.0412865352347	0.00503960956683	0.0303866434614
l	0.035565507535	0.801026341641	0.109747918412	0.00457084282228	0.0490894419538
l	0.0310669145117	0.486888878547	0.289130246137	0.0271721887408	0.165741825651
i	0.0406630575039	0.198856584182	0.539184148712	0.0343725431136	0.186923686884
m	0.0327378098346	0.116070328061	0.662500449571	0.0301897732379	0.158501660628
o	0.0494793326115	0.103291972687	0.601651669857	0.0867467130793	0.158830298876
n	0.0569533652038	0.107160060896	0.449234626619	0.155629697693	0.231022214959
i	0.0676190327346	0.106001906965	0.269221522206	0.278038209231	0.27911928832
s	0.0696413385782	0.0883169413217	0.146421724069	0.405120163077	0.290499802773
t	0.0317977611927	0.0407486107739	0.12069549469	0.428912367692	0.377845754258
ù	0.0217427327309	0.0169333525913	0.0974358265633	0.558034102564	0.305853954753
m	0.0131898654436	0.0105395831971	0.0717484871878	0.616912200855	0.287609841584
e	0.0140885130145	0.00905342789903	0.0602513017293	0.596286120285	0.320320630528
s	0.0135502792048	0.00735384246634	0.0301068675764	0.658941426762	0.290047593509
t	0.0083947926016	0.00470318366545	0.0213132601921	0.718377808921	0.24721096117
a	0.00727672893387	0.00608865939848	0.0169095527307	0.61110236964	0.358622683723
m	0.00700817804462	0.00968143346616	0.0142013249102	0.49724408988	0.471864971241
à	0.0123749996815	0.00896437758872	0.0139115919701	0.52363133996	0.441117700414
i	0.0120696822938	0.0107896016296	0.00808420189003	0.441062999987	0.527993533471
</S>	0.0073036142469	0.0136393858148	0.00493463429502	0.375581614993	0.598540766736
