 	sta	seduta	nel	giardino	</S>
s	0.964680255	0.0140331279	0.005461280025	0.001542144638	0.0142832139425
t	0.963691075	0.0148758112333	0.005587303725	0.00155639363933	0.0142894048018
è	0.770413491667	0.220424571344	0.003015465525	0.00056982980111	0.00557661398827
i	0.387305637222	0.598257590448	0.010767725075	0.00022535149837	0.00344363489609
k	0.149316321407	0.829078196816	0.0171019803583	0.000142733409457	0.00436073896536
a	0.074262359469	0.819768765605	0.0988576434528	0.000196227223152	0.00691498982179
s	0.0550273484897	0.789203688535	0.138882113818	0.00110241275438	0.0157843637739
i	0.0586865598299	0.651024529512	0.264060160606	0.00229305455146	0.023935641258
m	0.0569783559433	0.500740643171	0.391190786869	0.00554311151715	0.0455470947527
m	0.106481222981	0.37033382439	0.450176145623	0.0258441295057	0.0471646872509
è	0.13222669766	0.160252469797	0.640021451874	0.0323773265019	0.0351220680836
n	0.0709945075533	0.168469751599	0.692159303958	0.030037263834	0.0383392033612
i	0.0875462708511	0.1710605392	0.503297181319	0.146348475278	0.0917475617871
s	0.0912310109504	0.1316471784	0.305552817106	0.230791371759	0.240777647262
t	0.115727240983	0.1139894728	0.284768142369	0.253904137253	0.231611027754
o	0.121518825994	0.0742166982667	0.226109754123	0.285103922418	0.293050821251
n	0.0510533466647	0.0869233567556	0.132568238041	0.279750127473	0.449704940417
g	0.213523121222	0.0847692922519	0.141146036014	0.255745375824	0.304816188472
h	0.300151265407	0.0595301474173	0.133642235338	0.380213498608	0.126462889824
i	0.146215938469	0.0502905238058	0.0984902251127	0.473719116203	0.231284215275
a	0.0560003688063	0.0300597422686	0.0594416476242	0.466537572068	0.387960678425
r	0.0210018789188	0.0133684390895	0.0241166054614	0.577618790689	0.363894306142
d	0.0384716393063	0.0113404036965	0.0303059201538	0.697602896896	0.222279172381
ì	0.0426366559021	0.00884319963217	0.0291618768179	0.543662242299	0.375696021127
n	0.0170073543007	0.0129403942774	0.015733320706	0.5203149441	0.434003943709
o	0.0110197236336	0.0164190857591	0.0149611595687	0.5074200197	0.450179971236
</S>	0.0100041688168	0.0126376123796	0.0142038792844	0.29731818735	0.665836115618
