 	entrò	da	qui	</S>
m	0.9869236	0.0026804087595	0.00321117863565	0.0071848512
b	0.983058143333	0.0059889747865	0.00328766658188	0.0076652861
ì	0.868313624444	0.104133452595	0.00166949523063	0.0258834757333
k	0.774324908148	0.159102590865	0.0143599164102	0.0522125779111
e	0.552961971383	0.388772456955	0.0185399739034	0.0397255373037
a	0.206759484361	0.750305985652	0.0208783270678	0.0220561134346
p	0.071206613787	0.874574881884	0.0267807076893	0.0274377424782
ò	0.027476770029	0.915497433961	0.0333014248964	0.0237243774927
t	0.014011078343	0.65833691132	0.306913787299	0.0207382308309
t	0.0696159261143	0.269089269773	0.622674245766	0.0386205569436
u	0.0881141733714	0.123382205924	0.606391995255	0.182111618315
</S>	0.0472469586857	0.102441447962	0.536404267628	0.313907294157
