 	questa	la	costruirono	mastri	che	erano	i	muratori	</S>
t	0.98791712	0.0086114827	0.001615816446	0.0003377515089	0.000286624781225	0.000296869399425	0.000109393409509	3.0828787827e-05	0.000794059664449
ù	0.96739049	0.0266180062333	0.00274245561533	0.0006235256463	0.000664152270408	0.000324360001475	0.00012420082517	6.29255592757e-05	0.00144985092148
o	0.76987993	0.212535759744	0.0133019585718	0.000965122558767	0.000952195023469	0.000155164685492	7.543850839e-05	6.75519864252e-05	0.00206685464049
o	0.400160729667	0.563277369915	0.0324707745239	0.00123834075292	0.000778786701156	7.47310554973e-05	4.94262267967e-05	4.01218028084e-05	0.0019096874935
f	0.155274456222	0.690071703305	0.112064401508	0.00457265735097	0.00260760742705	0.000170955302166	0.000215219488266	0.00105235642827	0.0339706151445
r	0.0997880687407	0.673607081102	0.139940169169	0.0298406177837	0.00944681914235	0.000848960474055	0.000361303412755	0.00158787860942	0.0445790726948
a	0.0940903095802	0.567871707034	0.273830515056	0.0373391605946	0.00965484473412	0.000960066612685	0.000227493626252	0.000755854266473	0.0152700485616
b	0.0606111455267	0.311864462345	0.567034138352	0.0318955435315	0.00941907659804	0.000784831525562	0.000540096697417	0.00442428908549	0.0134264442039
b	0.217755624176	0.190042217448	0.493453009451	0.0629098031772	0.0142541696993	0.00199206900852	0.000938934465806	0.00568636920516	0.0129678197013
i	0.296038891392	0.166488662483	0.372293356484	0.143910514392	0.0110235795331	0.00265604680284	0.000727230555269	0.00200592309172	0.0048557822171
k	0.129276632697	0.110115363494	0.523005852161	0.195545761464	0.024091383311	0.00342141713428	0.00161465715176	0.00614437787724	0.0067845412557
è	0.0543469231323	0.0551667048313	0.46498278072	0.357061410488	0.0469411867703	0.00469232984476	0.00193683387392	0.00755090532241	0.0073209625119
s	0.0282668483108	0.0316112309438	0.34673825024	0.462546603496	0.0744843792568	0.00561516061492	0.00211081748131	0.0199428034708	0.0286839444306
s	0.0197474340369	0.0187630556479	0.25979077108	0.494968834499	0.129144511086	0.0114410895383	0.00268069016044	0.0245963751903	0.0388672434769
a	0.0187485655456	0.013456237216	0.106004699027	0.504304378166	0.270779870362	0.0580360561794	0.00304785388681	0.00883589222343	0.0167864248256
n	0.00914058154853	0.0131157404053	0.0939281806757	0.356688032722	0.371270473454	0.0899924120598	0.00702508822894	0.0323194205345	0.0265200282752
o	0.00617030444951	0.0110753638018	0.0860067296586	0.208043445241	0.421536611151	0.183262777353	0.014400225743	0.0402840641315	0.0292204631851
m	0.00522068914984	0.0109770499339	0.0473178619862	0.0883034550803	0.41057411705	0.309903575784	0.0183826069143	0.0626767819972	0.0466438664884
a	0.00339724961661	0.0104512254446	0.0338258805954	0.0401432826934	0.325528519017	0.414377305261	0.0486542516381	0.0704835825657	0.0531387130961
s	0.00245394241887	0.00754761628153	0.0191195461318	0.0183906463311	0.270711193006	0.51449844842	0.0632201648794	0.0538475194219	0.050210918632
t	0.00219729088629	0.00631914642718	0.0157142468106	0.0161272955437	0.270764237669	0.542208882807	0.0361215429598	0.050973152474	0.0595741928773
ò	0.0020723376521	0.00347851164239	0.00777398433687	0.0144969198479	0.242113442556	0.540445274269	0.13315169632	0.0203560320247	0.0361118139591
r	0.0011505183607	0.00381119371413	0.0126347774123	0.0119215892826	0.196119497519	0.527145971423	0.17531974544	0.0339752825416	0.0379214669864
i	0.0013155311069	0.00434672713804	0.0142532197708	0.0116183648275	0.161176988173	0.416787647141	0.31576015848	0.0398368828472	0.0349045024955
k	0.0013555866023	0.00382494717935	0.0105018762236	0.00695622717583	0.0807080197243	0.366588039047	0.428162672827	0.0602784062824	0.0416242449985
a	0.00119833036743	0.00354284499312	0.0091387054412	0.00445480962528	0.0434208399081	0.307625161682	0.516018897609	0.0690899794275	0.0455104436662
ì	0.00129645892248	0.00229237056437	0.00386026471373	0.00282429534176	0.0205856935694	0.145729721561	0.756766712536	0.0452441658092	0.0214002782221
a	0.000917197240827	0.00161762182146	0.00226985093791	0.00143963180059	0.00776580875647	0.076193646187	0.692855637512	0.195251090603	0.0216894744074
n	0.000702638613609	0.00293307437382	0.00645960081264	0.0012774687202	0.00449689741882	0.050823693729	0.468611265837	0.431121156868	0.0335742024691
e	0.000977572471203	0.00401674779127	0.00800642413755	0.00282775094007	0.00578255333961	0.043546226243	0.495581821946	0.383070075623	0.0561908184897
e	0.00119217612373	0.00352847946376	0.00415592601252	0.00312110421336	0.00505317094654	0.0296498137477	0.471735887315	0.409929565208	0.0716338394966
f	0.00089931560791	0.00371306955459	0.00800282943751	0.00238230757112	0.00427472481551	0.0191015982492	0.245760315772	0.654525688403	0.0613401231655
r	0.00162813053597	0.00886669805153	0.0200404601458	0.021594005657	0.0176245702718	0.0361840180831	0.225624168591	0.511305656134	0.157132271055
a	0.00222101794532	0.0100137435505	0.0193972471486	0.028264444019	0.0225723004239	0.047387219361	0.261753652864	0.223121215378	0.385269143685
b	0.00153597108177	0.0074741248835	0.0174262814829	0.013495104473	0.0166458811413	0.0547384931203	0.255361357621	0.231002675126	0.402320107895
b	0.0103283989606	0.0147501444612	0.0271336268276	0.050377433491	0.0781467827138	0.10750454104	0.26298215254	0.222964683042	0.225812227632
i	0.0131250748869	0.0142418161537	0.0208544657759	0.060362169297	0.0936205677713	0.104269922013	0.204553407513	0.112223147347	0.376749394211
k	0.00511493069563	0.0114480697179	0.024355402092	0.0245196845657	0.0383242031238	0.065348735671	0.152093972504	0.203604390782	0.475190591404
a	0.00352761639854	0.0119574485726	0.0263862390307	0.0144391503219	0.0227338687079	0.057270496557	0.146388534168	0.231201496927	0.486095173801
t	0.00265790008951	0.00734172375753	0.0152270636769	0.0081788904073	0.013626970736	0.0416780321857	0.107941903389	0.323162185642	0.4801853646
ò	0.00252620831984	0.00596031791918	0.0127029136923	0.00559023340243	0.00864483107867	0.0280383743952	0.0751407631297	0.423337788547	0.4380585782
r	0.00251259087328	0.00697174340639	0.0141929550308	0.00590632370081	0.00856395369289	0.0207477444651	0.0669836877099	0.484782169516	0.389338837733
i	0.00125253281109	0.0056343876688	0.0126319292436	0.0044223600336	0.0069034865643	0.016658390655	0.0482523959033	0.432282706505	0.471961837578
</S>	0.000869371035545	0.0032220806344	0.0068725589718	0.0027334620168	0.00452540178215	0.0118735070775	0.0349476979517	0.234549258253	0.700406688789
