 	non	mangiare	la	sera	</S>
m	0.603966555	0.1085056325	0.02137076845	0.035131886634	0.23102513695
i	0.312324997	0.397971370833	0.02217169675	0.0354119758113	0.232119930583
f	0.236422531	0.541072713611	0.0268739895167	0.0261652522038	0.169465488461
a	0.188504701667	0.44116308787	0.197557466506	0.0250461294013	0.147728579154
i	0.0851948042223	0.533772575957	0.299657552169	0.0162121314671	0.065162946718
o	0.0456780790741	0.586214411986	0.304169540723	0.0187640301557	0.045173935906
v	0.0296058640247	0.428332753995	0.459997173574	0.0325940177186	0.0494701799687
r	0.0165560775082	0.229388960332	0.427203977858	0.0434543702395	0.283396638323
à	0.0375893083361	0.134644882444	0.378777892619	0.10028249008	0.348705450774
i	0.0432274832454	0.0886720834813	0.321455861873	0.283224316693	0.263420264925
</S>	0.0226945943227	0.0538045207407	0.183140907437	0.408608908346	0.331751067462
