 	stava	ancora	cucinando	</S>
ì	0.890817785	0.009932215485	0.0478550352435	0.051394935325
s	0.830881718333	0.016320271495	0.0667731934145	0.0860247584417
t	0.835670089444	0.0145945014983	0.0813392794715	0.0683960914806
i	0.836719813148	0.0658748138328	0.0677414803238	0.0296639044935
g	0.564526202383	0.381828284611	0.0365761666079	0.0170693821645
g	0.305131208794	0.640990648204	0.039169322536	0.0147088350548
h	0.424718446265	0.495984082735	0.063768966512	0.0155284930183
e	0.538649215422	0.378901567578	0.0667985628373	0.0156506650061
a	0.358477679041	0.549595949193	0.0685785769458	0.023347802002
n	0.124465592914	0.668759503064	0.136972245649	0.0698026560007
k	0.0860214119713	0.444764602688	0.359964615216	0.109249402
ò	0.186226532324	0.208310679229	0.473805411739	0.131657410667
r	0.182170223441	0.361471323076	0.338052327246	0.118306124556
a	0.0990384738137	0.387356717692	0.349400979082	0.164203799185
m	0.0708760132712	0.201242865897	0.489006776361	0.238874336395
a	0.0537955030904	0.131226986966	0.533137965454	0.281839555465
r	0.0464914606968	0.062095691322	0.645020461818	0.246392385155
è	0.0238613815656	0.0308169811073	0.795611937273	0.149709673052
o	0.0168391401885	0.0157023660358	0.792569332424	0.174889125684
n	0.00769784206283	0.00898087821193	0.830963110808	0.152358148895
t	0.00638488568761	0.031049246604	0.863283030269	0.0992828212983
a	0.00560449990587	0.0378513268013	0.577944123423	0.378600051766
</S>	0.00309868046794	0.0195156803007	0.328543861711	0.648841795883
