 	Marika	tu	hai	mangiato	</S>
M	0.988788185	0.00869113005	0.000955745385	8.03165765e-05	0.0014846107285
a	0.961762028333	0.0272513866833	0.00696173662833	0.000978182392167	0.0030466525095
r	0.903846896111	0.0789435822278	0.0118991692094	0.00170625366406	0.00360408450317
ì	0.587446048037	0.397841467409	0.0103712867365	0.00120558335469	0.00313567340106
k	0.229266268679	0.659675905803	0.0251895032455	0.0553398727182	0.030528540167
a	0.109234832893	0.723580151934	0.0530061660818	0.0747780407061	0.0394008601223
e	0.049909376631	0.726227313978	0.116525410361	0.085704786702	0.0216331677741
s	0.0340264592103	0.550563207993	0.17195246012	0.179687252234	0.0637706569247
ù	0.0293871960701	0.337693752664	0.308660223373	0.249295164078	0.0749636566416
è	0.0185048843567	0.156029835221	0.359375307791	0.390356681359	0.0757332765472
f	0.00942477958557	0.0635386269737	0.193143035264	0.63811232712	0.0957811955157
e	0.00555734499519	0.0251191150579	0.0851515627547	0.624915355707	0.259256595172
</S>	0.0059246489976	0.0157154802789	0.0614870088773	0.483405897853	0.433466967586
