 	se	vieni	alle	sette	io	sto	cucinando	</S>
a	0.4728647365	0.505817195	0.0121906511	0.0032455877	0.0024246611625	0.0003174102	0.000508829476	0.002630956235
n	0.176750514	0.781637881667	0.0182245397	0.00338387856667	0.00301540385417	0.000409829113333	0.000566960402	0.0160110560783
è	0.0699411888333	0.857606013889	0.0436066999	0.00393491218889	0.00303820891806	0.000360293684444	0.000337347850667	0.0211754094928
r	0.0349299929444	0.841721157963	0.0546975953	0.0035647591963	0.00522167297269	0.000795078661481	0.00316500725689	0.0559047322976
t	0.0192527559815	0.573924035988	0.282148381767	0.0494770368654	0.0049560528909	0.00103684948716	0.00406880235896	0.0651360293492
i	0.00952653062717	0.244590768663	0.637873383922	0.0806416722885	0.0033366242303	0.000608073062387	0.00141996193632	0.0220029502997
s	0.00576322794239	0.124837708888	0.788813261307	0.0527954274295	0.00717381877677	0.00242182765413	0.00314338685544	0.0150513220332
t	0.0046036285808	0.0623271775293	0.758157970436	0.147816009143	0.00751411265892	0.00319766002804	0.00375982540515	0.0126235791844
e	0.00277044031027	0.0275164200764	0.591844490145	0.348678023048	0.021220493953	0.00151627175268	0.00136520334838	0.00508860390147
s	0.00292643838676	0.0217979156921	0.555081396715	0.340699221016	0.039938599651	0.00583198575089	0.00716047854279	0.0265639289672
e	0.00335469882892	0.0163736690307	0.422963725905	0.204833230339	0.300264908217	0.00978678758363	0.00926868248093	0.0331542820557
t	0.00306200277631	0.0109480134769	0.180239197635	0.16485421678	0.558854482739	0.0183597325279	0.00619523279364	0.0574870910852
t	0.00343092562544	0.0076134090923	0.104940578545	0.407139315593	0.379770679246	0.0244107585093	0.00578329406455	0.0669109802617
à	0.00278299507515	0.0044281395641	0.0543148558483	0.492170291864	0.318951458082	0.0958087218364	0.00401297425485	0.0275305144872
e	0.00179483589172	0.0030529467547	0.0230359522828	0.224453333955	0.538793632694	0.186620120612	0.00660302051828	0.0156461453291
v	0.00169261676391	0.00249799505157	0.0098397704276	0.083873660985	0.582197570898	0.259208906871	0.0196133068394	0.0410761911097
ò	0.0025689967213	0.00488834485052	0.00774609914253	0.035285713495	0.383779024966	0.45797898229	0.0465849276131	0.0611679290366
s	0.00355611814043	0.00527124968351	0.00744922524751	0.0171300043317	0.176519542322	0.56699412743	0.150202599204	0.0728771483455
t	0.00711369104681	0.00283552526117	0.0258994886158	0.0345477811106	0.0748119991073	0.57206327581	0.212339416401	0.0703888461152
e	0.00703409136227	0.00199010105372	0.0318646547053	0.0460706393702	0.0544779853691	0.44022930527	0.266309372134	0.152023882038
m	0.00596270246742	0.00433570101791	0.0192085620684	0.0261210374567	0.0520314014564	0.23237587509	0.356850364045	0.303114387346
a	0.00645927402247	0.00593777417264	0.0143059352895	0.0134572721522	0.0371457634855	0.13674826103	0.479408671348	0.306537069115
r	0.00477863687416	0.00481049575755	0.00804436036317	0.0085028377174	0.0314039978285	0.0580821103433	0.613899290449	0.270478276372
è	0.00464945122472	0.00445815178585	0.00628038398772	0.0055966715058	0.0179964716095	0.0277159411144	0.704462063483	0.228840852124
o	0.00322762398491	0.00318002812862	0.00364882472924	0.00376827743527	0.0140460248698	0.0137015993715	0.696554701161	0.261872920708
</S>	0.00190459595746	0.00204646736431	0.00226376366462	0.00341418971763	0.0158689454349	0.00936189268575	0.621802470581	0.343337685354
