 	e	che	cucino	</S>
c	0.865304375	0.00946775465	0.015056383125	0.110171432635
e	0.673030191667	0.0209304858833	0.0277757510417	0.278263534212
p	0.581626087222	0.107174784294	0.0308699750139	0.280329140737
u	0.488150319074	0.344294534765	0.032449706338	0.135105404579
m	0.258895090691	0.587088544922	0.055210665446	0.0988056598597
a	0.150700744564	0.497560051641	0.280717518482	0.0710216619532
r	0.119503359855	0.36732774388	0.367639639494	0.145529249318
è	0.105492718285	0.296829943293	0.424435166498	0.173242205106
o	0.0791848874283	0.127948173098	0.495423648833	0.297443320369
</S>	0.0426697407142	0.073265216549	0.390060114417	0.494004930184
