 	la	casa	la	costruisce	il	mastro	</S>
o	0.9286561	0.05671089395	0.002846922715	0.00274798440175	0.00353092157245	0.00075530565643	0.00475179750528
s	0.671847673333	0.29612129465	0.0107554932383	0.00361704186725	0.00385037321415	0.00084841511881	0.0129596855018
p	0.327898271111	0.60994521155	0.0436058577461	0.00282718545575	0.00222518249472	0.00040818329427	0.0130901139339
ì	0.16704473037	0.75691310385	0.0666258859154	0.00225504891858	0.00148753555824	0.000175824419757	0.00549789614463
t	0.0912570134567	0.780762034617	0.0965550486385	0.0220065486395	0.00139804351275	0.000822761840252	0.00719857911488
i	0.0766048078189	0.548716801539	0.333881179546	0.0311440722132	0.00139076364425	0.00103657638542	0.00722581387829
o	0.0681379426063	0.259140278846	0.641664943182	0.0257451074044	0.00202898025475	0.000369466080473	0.00291330799943
f	0.0261720082688	0.133146204615	0.782796481061	0.0502051754681	0.00282588631825	0.000196590840158	0.00465764486648
a	0.0306794784896	0.0653696048717	0.64121891702	0.243731126489	0.0123831333394	0.000310026993386	0.00630770695549
b	0.0325557026299	0.0399841106239	0.43641030234	0.45248752883	0.0189475709465	0.00104404934446	0.0185707506518
b	0.13414498901	0.064832867208	0.40425823078	0.328248494277	0.0405463578155	0.00217778488149	0.0257912683839
r	0.26998641967	0.135621710403	0.392099933593	0.118331437426	0.0670262892718	0.00237780069383	0.0145564274946
i	0.200109543557	0.123544809134	0.269365957864	0.112070457142	0.285177029757	0.00153997574461	0.00819224786487
k	0.073878884319	0.051320738378	0.110440968288	0.381845852381	0.355994313252	0.0053132332282	0.0212059827883
è	0.0327621619063	0.0233751974593	0.046578510896	0.431523124127	0.433292917751	0.0077655504094	0.0247024892628
i	0.0192353646354	0.0119455208198	0.0176150575987	0.187379108042	0.74307203925	0.00793520413647	0.0128176712543
o	0.0104766788785	0.0120400202733	0.00864260489957	0.0835976363473	0.861864133083	0.0125716280455	0.0108073279181
m	0.0096811399595	0.0172012480911	0.00878641016652	0.0842869024491	0.814069444361	0.0290704266818	0.0369045089727
à	0.0123494549865	0.0175275323637	0.0100042857222	0.0891723781497	0.624865251454	0.178892547227	0.0671886296576
s	0.0131931209955	0.0205258767879	0.00904874124073	0.11008231005	0.412583813818	0.295192715742	0.139373473219
c	0.0270157356652	0.0678234699293	0.0255511584136	0.128612274683	0.274725404606	0.314988718581	0.161283261073
i	0.0480706568884	0.0858538786431	0.0361729048045	0.0685182742277	0.246156851535	0.37490669286	0.140320757024
a	0.0355834718628	0.0423825048477	0.0205638362682	0.0288976301759	0.181822787178	0.331702770953	0.359046999008
</S>	0.0182583152814	0.0229022073739	0.0109893771341	0.016678806238	0.111144513589	0.268036665477	0.551990099504
