 	forse	sono	usciti	</S>
f	0.87937128	0.01334277835	0.098128570907	0.00915737422
ò	0.861823093333	0.0156157111167	0.106825454636	0.0157357304067
r	0.743394264444	0.0172446483722	0.161675585879	0.0776854568022
s	0.594102321481	0.124893091457	0.187768390293	0.0932361889341
i	0.46486625716	0.407197930486	0.086124380431	0.0418114616447
e	0.220170533387	0.416618581495	0.313742325477	0.0494685925482
g	0.079154263229	0.167948886832	0.631857961826	0.121038920849
g	0.0334289041763	0.0631516762773	0.557808600609	0.345610810283
u	0.0184643648254	0.0293777070924	0.468186180203	0.483971740094
ì	0.0110775953751	0.0568431116975	0.433275026734	0.498804266698
k	0.0509323274584	0.295410057233	0.238152456045	0.415505142233
a	0.0615714542195	0.333565813811	0.093667349815	0.511195377411
n	0.0708307398065	0.385164809337	0.0472791339383	0.496725351804
e	0.0738553720688	0.402030238846	0.0201018299794	0.504012579935
</S>	0.0371656742344	0.201244308023	0.0126354429897	0.748954559968
