 	avete	cucinato	le	verdure	</S>
e	0.88634942	0.0103418192	0.003627863175	0.0781921551632	0.021488701137
m	0.80093622	0.0553678724	0.0124738460583	0.0796522330544	0.0515698380457
a	0.833132926667	0.0742023381333	0.0164398450194	0.0281858253748	0.0480391353152
r	0.805793395556	0.0641834750444	0.0320332723398	0.0137097124816	0.0842802010717
è	0.742805065185	0.0911153633481	0.0606557901133	0.00909241436053	0.0963314154572
s	0.728647688395	0.100226722449	0.0807144680378	0.00794522865351	0.0824659569191
s	0.460744640665	0.392944275483	0.0619007993459	0.00724874488784	0.0771616116164
a	0.192545088088	0.552991051828	0.225676009782	0.00256609841261	0.0262218102488
t	0.144249529363	0.417720463943	0.388440459927	0.0038780805842	0.0457114938163
o	0.169265049788	0.301157557981	0.456716543309	0.00672570732807	0.0661351929388
t	0.148010857929	0.129988467327	0.503885081103	0.0986901712427	0.119425469313
a	0.100098111976	0.060569478109	0.494716793701	0.166963000414	0.177652619771
l	0.0910067476587	0.033544448703	0.462038031234	0.193744903471	0.21966587659
à	0.0850780982196	0.0187411195677	0.278655500411	0.37641258449	0.241112708863
c	0.184935926073	0.00998225098923	0.126673922137	0.345018728163	0.333389169621
h	0.206909935358	0.0572109331297	0.0750078037123	0.285970879388	0.37490043654
a	0.0935678385527	0.0730218171432	0.0563413079041	0.262608458463	0.514460545513
n	0.100736066284	0.0487333484811	0.100652111635	0.092639352821	0.657239091838
a	0.108709636761	0.0411058939937	0.109371133545	0.0421227869403	0.698690553946
</S>	0.0656658103805	0.0226295637469	0.0635999612725	0.0332969054702	0.814807776973
