 	non	aveva	dove	a	stare	</S>
e	0.864843325	0.1225103547	0.00283439025	0.0011283104885	0.00109851207425	0.00758517577
n	0.558619161667	0.381891778233	0.00655300191667	0.0015420913295	0.00159283499142	0.0498012152567
ì	0.214811275889	0.709850126078	0.00972159247222	0.000996538459833	0.00241523369714	0.0622053277522
c	0.18118915063	0.569363752026	0.0625532984907	0.00485047513661	0.010040625299	0.172002788584
h	0.198719893543	0.268534937342	0.29280030283	0.0112645587122	0.0191062820997	0.209574092695
e	0.098561950581	0.160315085547	0.63780418761	0.0129316869041	0.0147975678332	0.0755895269317
p	0.0377125155937	0.059786350449	0.791053029203	0.0492524136347	0.0271600174111	0.0350356485106
u	0.0188622586312	0.0243320733497	0.552807216401	0.330495109545	0.0431300658037	0.0303732355035
s	0.0086731864504	0.0170901504832	0.2482786438	0.423767561182	0.241412496601	0.0607779258345
t	0.0110835952901	0.0158621543611	0.121112206933	0.424995955061	0.325291810534	0.101654286611
a	0.01200294332	0.0082053156537	0.0615998816443	0.497313708354	0.251235321845	0.169642842204
s	0.00429970487	0.00679792755123	0.0355142452148	0.286609866785	0.462371513948	0.204406724068
ì	0.00226324366333	0.00674983485041	0.0171526489049	0.108783392262	0.527926761316	0.337124078023
</S>	0.00231303608167	0.0056176049252	0.0123759962025	0.061583440131	0.425707515658	0.492402359011
