 	è	che	sono	usciti	</S>
è	0.62260507	0.0303069335	0.0051608521	0.259091559415	0.08283562695
n	0.309798267333	0.0215850825	0.00509197203333	0.492744706472	0.170779998983
a	0.111025534278	0.0197654965	0.0225632008778	0.666984422157	0.179661366328
g	0.040774127926	0.0177878478333	0.0296871763926	0.532484480719	0.379266358776
u	0.0214492203087	0.0175199969444	0.0257097592309	0.448905786906	0.486415222925
ì	0.0270854871029	0.0632992166481	0.058133155077	0.480406132302	0.371075990975
k	0.0380597703676	0.164407105549	0.210962445026	0.261347372401	0.325223286992
a	0.0279037997892	0.14994024855	0.226852641342	0.121942437434	0.473360852331
n	0.0600022729297	0.175615856217	0.227226866781	0.0753135879447	0.46184136511
e	0.0704121506499	0.183745545092	0.226437852927	0.0283990681149	0.491005346037
</S>	0.035378464835	0.092088272076	0.113513222463	0.0182230315575	0.740797008019
