 	i	bambini	non	lo	possiamo	non	possono	mangiare	il	gelato	prima	che	mangiano	</S>
a	0.910840285	0.006784336	0.002726738435	0.01977264114	0.005612977956	0.0080668287625	0.0187767050779	0.0113844632884	0.0068531063055	0.00452280889145	0.00019554034895	0.000271624445895	0.00316653437477	0.00102541111488
p	0.880026951667	0.018362634	0.00396191641167	0.03114615138	0.006592698452	0.00857553025417	0.0217013143593	0.0117062787961	0.00705569538183	0.00457408690382	0.000225021464983	0.000288890430965	0.00320522571826	0.00257759907163
e	0.850389250556	0.0679026613333	0.00595332857056	0.0413573227933	0.00449402095067	0.00390872575139	0.0130317761198	0.00443457171203	0.00273254120728	0.00160435476127	0.000133955311994	0.000122825933988	0.00112729007709	0.00280735515721
t	0.638417906852	0.200407083778	0.0248862225235	0.0910115542644	0.0166804706502	0.0073249385838	0.0137259313733	0.00315765798401	0.00129327349243	0.00066894934709	0.000139401138998	7.6216365996e-05	0.00040762108003	0.0018027450524
à	0.390272332284	0.383258687926	0.0764969818412	0.105424402088	0.0201957765834	0.0083072071946	0.0111206318844	0.002558725138	0.00064110853781	0.00032983597403	0.000115577861999	5.3515720332e-05	0.00014847710161	0.0010767001628
c	0.241207244095	0.337240972642	0.106191843947	0.0650847323627	0.0182987178945	0.0193099647315	0.0101664637215	0.0161028701893	0.00143288726294	0.00121408160968	0.000373360793	0.000803333311777	0.0147659462988	0.1678075579
i	0.240605821365	0.207306957547	0.122312357982	0.110257245121	0.0183879479648	0.0228815430105	0.0098787143105	0.0206026586564	0.00170117081631	0.00150939428009	0.000473904278333	0.00105483244693	0.0196386844859	0.223388781303
a	0.209912349788	0.161639964516	0.198420605994	0.29022713504	0.0198177809883	0.0175018417702	0.00901928150683	0.0102180114788	0.000872076377437	0.000595496926897	0.000183867520444	0.00036142618331	0.0065721394483	0.0746580287237
e	0.0754307842627	0.082083568172	0.177023079998	0.562984478347	0.0295957153294	0.0190033295901	0.0168155318356	0.0082859816596	0.000810178935812	0.000348604708966	7.5993866148e-05	0.000130346041437	0.00222842487543	0.0251839688179
t	0.0317333460876	0.051913255724	0.0958410933327	0.654406472782	0.0645903217765	0.0301490138634	0.0414606469452	0.0164078350532	0.00153600774527	0.000333385859655	0.000118666477716	6.2201509479e-05	0.000858717674477	0.0105890285626
o	0.0203260300292	0.0416990865747	0.0668188897776	0.610137270927	0.135159180592	0.0415664329545	0.0519043446484	0.0233058376844	0.00220767098176	0.000440711689885	0.000151913119239	4.8826606493e-05	0.000410716481492	0.00582308133087
s	0.0143508023431	0.0339245398582	0.0439109932592	0.517920023642	0.202098833531	0.0705008576515	0.0651988985495	0.0384488518948	0.00357595276059	0.000690467386628	0.00034900882308	0.000119563132164	0.000789863860497	0.00812132425362
ò	0.0126643581144	0.0283224079527	0.0406021687531	0.352392524547	0.310556787844	0.0980645172172	0.0923179161832	0.0489927706316	0.00462520245353	0.000954264928876	0.00041464087436	0.000151641179388	0.000957164913499	0.00898362168454
z	0.0118844833715	0.0349507059842	0.032614087251	0.230062882849	0.381301399281	0.115410157072	0.0880692187277	0.0645815135439	0.00516637935118	0.00132976780963	0.00073911395812	0.000819166995129	0.00934390359783	0.0237272028282
u	0.00630061145717	0.0324699958614	0.0202994127503	0.120888367283	0.42676334976	0.141610062357	0.124917992909	0.0763059661813	0.00637277765039	0.00167179946988	0.000856883747373	0.00103156005171	0.0120960127399	0.0284152078894
m	0.00374651248572	0.0208537744871	0.0114079840834	0.074424340761	0.451889876587	0.128205385786	0.202061097636	0.0627016337271	0.0102493438835	0.00172508602329	0.00261587424379	0.00107524903724	0.00613762035397	0.0229062382431
e	0.00245423792857	0.0169142787624	0.00806045619447	0.0503738862537	0.323603375529	0.116541886929	0.310508222545	0.120195197909	0.0180541292945	0.0036988604411	0.0032620013746	0.00110520597575	0.00417408281132	0.0210541673144
e	0.00158470756619	0.00823516185413	0.00334041953149	0.0200071675846	0.158142933843	0.086044210643	0.527581647515	0.153411552636	0.0262563474315	0.0049983093137	0.0013424378282	0.000414482731917	0.00148334056377	0.00715727374813
s	0.0015203563454	0.012218339618	0.00285786164383	0.0116499053615	0.082993643281	0.044043089881	0.648516849172	0.141108477545	0.0399456974772	0.0039963814379	0.00184391225273	0.000395204920639	0.00147684515459	0.00743344032604
ò	0.0033994687818	0.0148749235393	0.00406575821461	0.00999776598717	0.0633891010937	0.0478371112937	0.540311533057	0.226146672515	0.0649558784924	0.00986800364597	0.00306071758424	0.00092588280688	0.0023780259182	0.00878915644201
z	0.00404300119393	0.0220051468464	0.00497840820487	0.00655574072906	0.0437626076979	0.0468083567646	0.409312174352	0.325109364172	0.0749090144975	0.0143971892153	0.00366567092808	0.00297377900229	0.0269284120394	0.014551113814
u	0.00226156813131	0.0219526598821	0.00381559976829	0.00356645800969	0.0232739807993	0.0248543312549	0.261589112117	0.395377568057	0.177688981499	0.0281233044051	0.00426462440936	0.0033322065341	0.0344658865965	0.015433669138
