 	lo	ho	finito	di	fare	</S>
t	0.8895917	0.0064616685	0.0082093022765	0.0102859910775	0.045115915577	0.0403354303795
o	0.820584333333	0.0533033285	0.0256938944255	0.0111460423592	0.0455736371923	0.0436987581265
s	0.622275694444	0.113930572833	0.0709810754752	0.0182640411197	0.0339836810641	0.140564927375
p	0.387760848148	0.148571244278	0.205724878492	0.0458685117066	0.038242770688	0.173831776625
ì	0.252899362716	0.184130361426	0.425220086164	0.0488488099022	0.0218741576627	0.0670272417083
c	0.115436556339	0.137719039475	0.591325485388	0.0352865339674	0.0339427229876	0.0862896659028
c	0.0572692608797	0.060165574825	0.584800085129	0.0526370539891	0.115122550996	0.130005468634
e	0.159847380293	0.0538366276083	0.466295908376	0.117658507996	0.116417011065	0.0859445381113
t	0.178058630531	0.0435181965361	0.575775696125	0.119168785999	0.0471826224217	0.0362960746038
s	0.14414475061	0.020154921012	0.523184092042	0.208876415333	0.0732338821406	0.0304059782013
a	0.135734583537	0.013360223504	0.208978891347	0.526360665111	0.0789364922135	0.0366291640671
a	0.0494255627123	0.010209468168	0.0815288871157	0.634153951704	0.181451958905	0.043230162689
t	0.0179929571708	0.0118953503893	0.0331970313719	0.397205159235	0.427009586302	0.11269988423
s	0.0113042051236	0.0120418609964	0.029497230124	0.194683651745	0.524485715434	0.22798732141
è	0.0111291010412	0.0109524935321	0.0253517220413	0.138642459248	0.525022591811	0.288901617137
k	0.00893386034707	0.0306339425107	0.0419863626804	0.119447558416	0.491563663937	0.307434592379
à	0.021542985449	0.0519894585036	0.0483892625601	0.0960875208053	0.475722034646	0.306268740793
m	0.0243703696497	0.0488776865012	0.0300948451867	0.0683857329351	0.505140924882	0.323130443598
i	0.0119445218832	0.0328043338337	0.0225995761956	0.0633677023117	0.400779274961	0.468504594533
</S>	0.0103338121916	0.0226593504169	0.0122108507978	0.0655749011558	0.29883463748	0.590386447266
