 	noo	abbiamo	deciso	che	oggi	avevamo	andare	alla	spiaggia	con	mio	fratello	però	lui	sapeva	che	faceva	freddo	e	non	è	venuto	ma	ma	lì	che	il	mare	non	mi	piace	quando	fa	freddo	</S>
e	0.93126085	0.01616169365	0.00232549925	0.00652008925	0.00681522828	0.009610370479	0.0037203994425	0.00080769140225	0.0003656660695	0.00031020703155	0.00175232115465	0.0006327228598	0.002001211051	0.00105987114515	0.00102950981475	0.00119972275605	0.00070701033341	0.0005999259374	0.00090861795635	0.00113203248405	0.00217874625688	0.000358509299	0.00160456666473	0.0023670706517	0.0014171739042	0.000733560539425	0.0004952461344	0.0002436169639	0.00047560993016	0.000452909880835	0.00033174510445	4.261539905e-05	6.74034089e-05	3.4888478225e-05	0.0002756848863
m	0.859597226667	0.0654891978833	0.00622126561667	0.01054296525	0.0170011170933	0.0103173038263	0.00410303838083	0.000928440527417	0.000647910543167	0.00042850430385	0.00185172780155	0.0007239689866	0.00214594365367	0.00110669844838	0.00127848283825	0.00126369367868	0.000747845187803	0.000685730962467	0.00101681330545	0.00125838630802	0.00222079356896	0.000753877176333	0.00172548636158	0.00251270605057	0.0014535427214	0.000790813386475	0.0005771306848	0.0002798558063	0.000520938293387	0.000486017653612	0.000364958956817	4.912889335e-05	8.12464963e-05	4.68553857417e-05	0.000780336928767
ì	0.760460265556	0.163832052628	0.00962020453889	0.01491064975	0.0242048683644	0.00714935927543	0.00320193579361	0.000664565669139	0.000563624947722	0.000373728674617	0.00099777918385	0.0005430526622	0.00112289205456	0.00058619334946	0.00082066442275	0.000773435002893	0.000341068672601	0.000436515530822	0.000651840638483	0.000841450402673	0.00109381042299	0.000713244582111	0.00109228362719	0.00158259548352	0.000665906760467	0.000489733345492	0.0003775141816	0.000148958965767	0.000327117134462	0.000270838327871	0.000189409480939	2.573123345e-05	4.73134021e-05	3.16552814139e-05	0.000847734002922
d	0.603122735185	0.253637550876	0.0108513588463	0.0191621409167	0.0367778587881	0.00837388475848	0.00349744189787	0.000742160999713	0.000558973195907	0.000540269058206	0.000853799061283	0.000905832654067	0.00089718675152	0.000543808416487	0.00076699828425	0.000920405750964	0.000600041690867	0.000423277383607	0.000675417619494	0.00175043832089	0.00127384505766	0.00099276261737	0.00198466820906	0.00214492639451	0.000527609253489	0.000661857325164	0.000420950183867	0.000145974817256	0.000803484131487	0.000373660615957	0.000214731013646	6.136705315e-05	0.000170760177367	0.0031324631353	0.0414894318943
e	0.339187157262	0.517260816959	0.0118261626154	0.0143676768722	0.0332554320294	0.00588989807616	0.00216585049262	0.000536745675704	0.000495060146302	0.000485003831835	0.000528014105961	0.000817827649489	0.000563232493507	0.000360708370762	0.00060660667865	0.000682895219821	0.000635857559722	0.000298737423002	0.000480932706631	0.00176023327306	0.00102418683842	0.00102208759279	0.00188977104535	0.0017392359665	0.000337893945763	0.000551738151155	0.000333496319089	0.000126125621965	0.000854898794829	0.000332931999552	0.000189239655682	7.05547317167e-05	0.000205633859392	0.00416222685697	0.0549551555231
c	0.137725714621	0.65318603232	0.0136726155385	0.0148389551907	0.0523776314431	0.00871968584872	0.00364774629087	0.00113503492437	0.00184806154977	0.00138001092304	0.00113436568752	0.00123264454796	0.00128393564084	0.000619883455521	0.00187402631012	0.00111273717611	0.00111220461601	0.000638995156134	0.00130388627901	0.00260877322379	0.00151925186534	0.0033716306846	0.00345034432412	0.00280567262383	0.000686073109854	0.00117539942649	0.000967519187496	0.000462605490202	0.00129874808261	0.000717110704084	0.000534294336361	0.000180088381239	0.000601413820067	0.00694075243086	0.0738361553994
i	0.0804838915403	0.66497718744	0.0350918478462	0.0170509717302	0.0593995283144	0.00964046643957	0.00416836904029	0.00134518918912	0.00231247855326	0.00168682899168	0.00134123704351	0.00137120351745	0.00152958426195	0.00070803363584	0.00230477272337	0.00125675730037	0.00127148181244	0.000759941691045	0.001584188179	0.00289186282826	0.00168414629691	0.00416092539753	0.00397390897504	0.00316529123461	0.000802928496618	0.00138520996516	0.0011819096765	0.000575391971634	0.00144682633974	0.000846774980361	0.000649588932287	0.000217142987913	0.000733746946222	0.00786716878887	0.0801331823448
d	0.0567933271801	0.66645531248	0.145466919282	0.0335236989101	0.0355236682715	0.00767049330319	0.00305617305676	0.00075139844404	0.00214171112109	0.00103642968123	0.000654526495503	0.000843064040617	0.00075741822565	0.00029113464928	0.000975219461123	0.000568698275123	0.000587872727913	0.000353600662682	0.000758915145667	0.00142299779642	0.000677300924103	0.00308188130184	0.00175580092535	0.00136008960487	0.000328070048873	0.00062990454472	0.000586376792833	0.000264449458778	0.00075449044878	0.000371286015787	0.000244592587596	0.000113066706804	0.000318050278274	0.00267359700487	0.0272083953266
è	0.03762022346	0.42422542416	0.405793746427	0.0692573163034	0.0278387086238	0.00700045289773	0.00269040709225	0.000554748881347	0.00207135041986	0.000816025681077	0.000420503101968	0.000668396369872	0.00049352064955	0.00015034972456	0.000523418353374	0.000339690895708	0.000361501348204	0.000214483602894	0.000478601992122	0.00093653559414	0.000342445160034	0.00271540284068	0.00101704498045	0.000756054435623	0.000168586958824	0.000376725996573	0.000384687847178	0.000160086074186	0.000524448327127	0.000211367183929	0.000109216149032	7.83151230347e-05	0.000179261337511	0.000943898603457	0.0095769869002
t	0.0141576498867	0.273340658053	0.589155935476	0.0851077387678	0.0175840977413	0.00459269252924	0.00168933010408	0.000258120827116	0.00094880368612	0.000381427557692	0.000205735010789	0.000397599096291	0.000248529207517	6.64768196533e-05	0.000242937674125	0.000151605042569	0.000166584858301	9.42348239647e-05	0.000206237307607	0.000656277260047	0.000162354815345	0.00142215652029	0.000607549565483	0.000458809579208	7.52435364747e-05	0.000176302997191	0.000173252195293	7.35201279887e-05	0.000356891646576	0.00010675995331	4.14592721773e-05	4.20774861116e-05	8.46436305903e-05	0.000789752406319	0.00577648755807
