 	tutto	il	cibo	vuole	girato	</S>
ò	0.95179618	0.0044635462	0.01692480743	0.0031164290841	0.0050067400344	0.0186922537675
l	0.907516993333	0.00888865106667	0.02026468781	0.0037457294947	0.00950376651147	0.0500801295892
o	0.738046597778	0.191648759689	0.0126024757033	0.00188967519323	0.00766789325516	0.0481446050264
o	0.428962675926	0.513260416563	0.0352411253344	0.00119176495941	0.00281939098305	0.0185246151721
m	0.201922018642	0.589180872188	0.185622403111	0.00174562228647	0.00153964877435	0.0199893883907
a	0.133991312881	0.530563580729	0.314026717704	0.00211749682882	0.00086443191045	0.0184364151969
r	0.0989415742937	0.437344510243	0.422511865901	0.00973202804294	0.00348614348915	0.0279838474656
ì	0.0557522080979	0.249850113414	0.626116531967	0.0321600480143	0.00443166642305	0.0316894549219
o	0.0327123440326	0.113158487471	0.752096023989	0.0874007693381	0.00220137503435	0.0124310177073
t	0.0135582254775	0.0481067238237	0.759596554663	0.166105899779	0.00369362087812	0.00893897753577
è	0.00657020555917	0.0225996164412	0.541708318221	0.41738480326	0.00408897675937	0.00764808011192
l	0.00385345705306	0.0118556599804	0.33907275274	0.60445023442	0.0280350921531	0.0127327896373
i	0.0122075972844	0.0394279323268	0.291249534247	0.48224527814	0.0731853007177	0.101684319879
v	0.0152227364281	0.0472743252423	0.184289914749	0.37940475938	0.216465221906	0.15734300196
o	0.0172241278094	0.0418221748808	0.10178711625	0.348075639793	0.312739477302	0.178351465987
t	0.0176622126365	0.0409337629603	0.0592675444167	0.239430948598	0.478746559101	0.163958954329
i	0.0154695509122	0.0316854543201	0.0338025841389	0.133246699866	0.518313756367	0.267481923776
m	0.0148765215707	0.0304346271067	0.024008293913	0.0820952109553	0.538039932122	0.310545401259
m	0.00731929659023	0.0292831620356	0.0135493658377	0.0464345213184	0.603011830707	0.30040181042
è	0.00448654063008	0.0249074103452	0.00849149651257	0.0286706817728	0.341689103569	0.591754753473
n	0.00828839217669	0.0779107071151	0.0126165844042	0.0197200935909	0.289276174523	0.592188044491
o	0.0098681000589	0.096075131605	0.0138140055347	0.0159901595303	0.262134362841	0.602118228164
</S>	0.00597596802945	0.0497821596525	0.00801268686735	0.0103013722651	0.134315288421	0.791612494082
