 	voi	avete	mai	mangiato	il	pasticciotto	</S>
e	0.994392245	0.002119733895	0.0014048688005	0.00119411422425	0.00018797140735	0.00018330487996	0.00051780064565
s	0.985265625	0.009635251765	0.0018134953335	0.00135218846808	0.00021138618245	0.000192440591987	0.00152963424855
ì	0.969694621667	0.0255745155883	0.00191866357783	0.00098424404936	0.000114751887483	8.10986179957e-05	0.00163210752952
ì	0.817048333889	0.178796551863	0.00241954885928	0.000931823539787	7.43938504943e-05	3.78486869986e-05	0.000691525523173
s	0.561121341296	0.384209710621	0.00948011961976	0.00366087126993	0.000181254748165	0.00429806156467	0.0370486471411
e	0.322745917099	0.592199726874	0.0252041265399	0.00474855085664	0.000208812104055	0.00571629621922	0.0491765747937
s	0.1456005257	0.743844552291	0.05980121218	0.0119029522189	0.000505056532685	0.00348734777074	0.0348583623446
t	0.103079815233	0.635546074097	0.199450777393	0.0215683447396	0.00227664147756	0.00319586895691	0.0348824827815
a	0.101634751744	0.454526331366	0.403901709131	0.0187606422465	0.00268746821252	0.00152806903697	0.0169610535938
f	0.0792740039147	0.356875250455	0.483558756377	0.0339846757488	0.00423220179084	0.00433089769699	0.0377442601979
a	0.0560802613049	0.226056571152	0.572171962126	0.0903716852496	0.00557756999695	0.00529474594066	0.044447225766
m	0.034827816435	0.110016018051	0.677129077375	0.134618578417	0.00521855286565	0.00343746878855	0.0347524952887
è	0.0180093464783	0.064922972217	0.556907119125	0.319004109472	0.00697285725522	0.00279802284952	0.0313855929696
n	0.0099607703261	0.0335118046057	0.420779866375	0.432225896491	0.0115423299184	0.0107889197698	0.0811904278632
a	0.0104776286087	0.0244635305352	0.303673825458	0.470386092164	0.0784386376395	0.0139222393566	0.0986380678211
m	0.0105763403696	0.0207906491784	0.163430291819	0.568924317388	0.139263562546	0.0170049658855	0.0800099144737
a	0.00724659328987	0.0178237027261	0.0959475746063	0.522798372463	0.262946004182	0.0192853896285	0.0739524087246
i	0.00494082252996	0.010157839242	0.0435896712021	0.364620844154	0.539645401394	0.0103153734428	0.0267301079082
i	0.00505126874332	0.0110746337473	0.0197312284007	0.195919868051	0.743847620465	0.0120061373809	0.0123692705361
l	0.00629062904777	0.0157790169158	0.0157583591336	0.149887426017	0.642640416822	0.119665354127	0.0499787836454
p	0.00716444968259	0.0154840873053	0.0136138341779	0.109855392339	0.397709908941	0.313377511376	0.142794814548
a	0.00704890866086	0.0105483803018	0.0125186458593	0.0758768744463	0.301169716314	0.391124143792	0.201713331516
s	0.00582474798695	0.0110481196339	0.0139417872864	0.0723112754821	0.228130988771	0.419529661264	0.249213423839
t	0.00677775832898	0.0107404412113	0.0164418744288	0.0420718651607	0.118947288257	0.562656820421	0.24236396128
i	0.00574109277633	0.00599199847043	0.0163671281429	0.0340402077202	0.0677110847523	0.685295996807	0.184852507093
c	0.00359586639211	0.00685962689014	0.0113260582143	0.0366192399067	0.0641347569174	0.681511442269	0.195953035698
c	0.0145418455974	0.0155620109634	0.0083153747381	0.0254393243022	0.0872585243058	0.569013250756	0.279869668566
i	0.0371643618658	0.0272016136545	0.0569703274127	0.122306268434	0.131223984769	0.364993660252	0.260139766189
ò	0.0331511437886	0.0223953226515	0.0718090209709	0.152298141978	0.108507254256	0.474375113417	0.137464012063
t	0.0115651198629	0.0081734463505	0.024486889857	0.0526067864927	0.0426219710853	0.786879584472	0.0736662336877
t	0.00646205458763	0.00377093001683	0.010831844219	0.0198079150309	0.0192106690284	0.862297141491	0.0776194742292
o	0.00488510319588	0.00227983475894	0.00719555953967	0.0158510065436	0.0164764553428	0.667345647164	0.285966404743
</S>	0.00283025029794	0.00160889370947	0.00522100211984	0.0195167662718	0.0198948286714	0.484939023582	0.465989237371
