 	sta	e	dorme	nel	letto	</S>
s	0.68751027	0.0355704555	0.01678265307	0.01071765465	0.195631210366	0.0537877143565
t	0.654185236667	0.0680234475	0.01740744369	0.0108834633267	0.195656306669	0.0538440537188
e	0.572231938889	0.3294521325	0.0107598578967	0.00384310669223	0.0652651030747	0.0184477783729
c	0.26078937363	0.427913550833	0.0327698639656	0.00478273603741	0.135479248663	0.138265187658
e	0.15290258521	0.419030223611	0.0845449066552	0.0063765703458	0.158895047289	0.178250656719
p	0.117431314403	0.417381764537	0.335921635552	0.00775694578193	0.0590791084977	0.0624292578397
l	0.0778729674677	0.277681088179	0.558032831851	0.0236222342606	0.0280687460326	0.0347221587132
ò	0.0825204191559	0.204362939393	0.611748277284	0.0640053324202	0.0119114496109	0.0254515509044
n	0.0614458097186	0.100680596131	0.716245825761	0.0832476374734	0.0120361486036	0.0263439236348
n	0.122646346573	0.053729056377	0.53641723392	0.229400012491	0.0242102905345	0.0335970305449
i	0.154021168858	0.0599601651257	0.245777819973	0.477528257497	0.0234740255115	0.0392385551816
s	0.0678675960193	0.0572319033752	0.200866696658	0.596503462499	0.0268744221705	0.0506559083939
t	0.0415984930731	0.0270362229251	0.154932490886	0.660560954166	0.0612263007235	0.054645524798
o	0.0406204300244	0.0320740361084	0.103606932295	0.532526764722	0.109485096908	0.181686709266
g	0.0233071857748	0.0345095403695	0.089335080765	0.299671558241	0.316618598969	0.236558016422
r	0.0216381413583	0.0293307107898	0.113158136922	0.216116392747	0.398358399656	0.221398218807
à	0.0321687437861	0.0293474427633	0.110638766641	0.147787913249	0.475987699885	0.204069419602
t	0.024553740762	0.0185787364211	0.0480380982137	0.0786869534163	0.698784899962	0.131357539867
t	0.0538966544207	0.0166077791404	0.0455249310712	0.143556111139	0.569475946654	0.170938533289
i	0.0629978609069	0.0132896243801	0.0416245676904	0.155906664046	0.337741462218	0.388439777763
</S>	0.0331772196034	0.00898711169005	0.0263761898452	0.084680222523	0.279620031109	0.567159188881
