 	se	nella	nella	pasta	voleva	sale	l'	avevo	messo	</S>
a	0.43596038	0.53950008	0.0118654815	0.00226331445	0.004352118125	0.002081319906	0.00066211254275	0.00134671253275	0.0002781312225	0.0016903637282
m	0.183233116467	0.761375143333	0.0334162908333	0.00670631988333	0.00660846720833	0.002716591402	0.000734511847583	0.00154529594425	0.000297612275833	0.00336664867607
e	0.0646143026223	0.871619387778	0.0443991742778	0.00802011362778	0.00545165380278	0.00181756736733	0.000327067636528	0.000747559509417	0.000124356947611	0.00287882272869
s	0.0272827378741	0.825195419259	0.0792654540926	0.0417050665426	0.0129398918343	0.00742674475578	0.000271023172843	0.000827644031139	9.31633932037e-05	0.00499283107956
t	0.0164525861247	0.57166733642	0.313258558031	0.0681770061809	0.0145640285714	0.00905155473526	0.000277861274281	0.000837129542713	8.00350409679e-05	0.00563386025252
i	0.0103855519749	0.354931338807	0.575929942677	0.0478333893936	0.00540372235047	0.00311714862842	0.000142219057094	0.000311829461904	2.94645327226e-05	0.00191536996351
p	0.00545194869163	0.216526281602	0.701403837559	0.0491865731312	0.0222617046502	0.00355874510947	0.000150738601365	0.000449443069301	1.53376160742e-05	0.000995385607837
à	0.00749099716388	0.130910149201	0.745525889186	0.0751626577104	0.0345329355501	0.00456379466982	0.000182510903788	0.000553906066434	2.26896780247e-05	0.00105446270261
s	0.0137067180546	0.0961606537337	0.708299473062	0.11135445257	0.0367197745167	0.00729482752327	0.000533806911263	0.00141921286548	0.000458147059342	0.0240529011009
t	0.0146507590182	0.0431415312446	0.623748107687	0.245675230857	0.0306870933722	0.00738587507442	0.000836093593754	0.00170656234516	0.000617413049781	0.031551284417
a	0.00854265108607	0.0210943165815	0.392493698229	0.542811230286	0.0196944403241	0.00296788059147	0.000719302654585	0.000664619270387	0.000235299470094	0.0107765054677
ì	0.00317664858869	0.0129426903272	0.14773343341	0.615357360095	0.155172851775	0.0589655698638	0.00106999578486	0.00173008645546	9.1769345198e-05	0.0037595658879
c	0.00375353857623	0.00887381107573	0.05531020897	0.428331460032	0.354507940592	0.131524336621	0.00133622846162	0.00331284801849	0.000202505260066	0.012847105416
h	0.00981515975874	0.00960887102524	0.0525850891567	0.518066810011	0.284532930864	0.101411893207	0.00456639678721	0.0031635264395	0.000308332856689	0.0159409586953
e	0.00936698765291	0.00798161700841	0.0501636403856	0.544564590004	0.237056727621	0.119823062069	0.0216716789291	0.0034588421465	0.00020837412223	0.00570449138843
t	0.0060147662843	0.00790221666947	0.0239910594619	0.306271913335	0.398497109207	0.190198354023	0.0286561583097	0.00618589448217	0.00148928965408	0.0307932547295
e	0.00564066799477	0.00928550722316	0.0135009870206	0.141371284778	0.372396393069	0.299113938008	0.10369935477	0.0133643484941	0.00210880322803	0.0395186834765
l	0.00367305323159	0.00772109374105	0.00718108487353	0.063001996926	0.323637421023	0.394320692669	0.136549289257	0.0168961081647	0.00140631711934	0.0456128930588
ì	0.00440785991053	0.00732380658035	0.00572014642451	0.0351261514753	0.273175883674	0.345240077556	0.251897964086	0.0251484607216	0.00230789173978	0.0496517199196
s	0.00512075513684	0.00818503352678	0.0045028870415	0.0246764959918	0.253347971225	0.308620152519	0.322765431362	0.0267551792405	0.00459499457993	0.0414311088732
