 	l'	ha	scritta	</S>
t	0.859939735	0.07237517975	0.043751174845	0.0239339238
o	0.556588411667	0.35930141325	0.050107251615	0.0340029352667
è	0.231862930556	0.59241801775	0.138110153872	0.0376089140889
g	0.095867156852	0.45784107925	0.393574774624	0.052717000363
r	0.0485583169507	0.334807926417	0.422910284875	0.193723456788
a	0.0511981919836	0.261296235472	0.415272354958	0.272233195596
t	0.0372068211612	0.147954936491	0.610591634986	0.204246608532
s	0.10782368922	0.078022077497	0.534932468329	0.279221796177
e	0.132828318073	0.050917651499	0.35660007611	0.459653978726
</S>	0.0696501915365	0.0471691732495	0.334210558055	0.548970089363
