 	volevo	trovare	un	forno	che	fa	un	rustico	buono	</S>
ì	0.9465092	0.0193333465	0.00484980428	0.00483638434	0.00599882607	0.0084822626935	0.0064064399402	8.9630075e-05	0.00027846154037	0.0032156347685
s	0.917735966667	0.0284257941667	0.00698247826	0.00584979284667	0.00646037765667	0.0090692113645	0.00674987598007	0.000135972895	0.000481169223457	0.0181093390228
e	0.679320485556	0.281870520056	0.00542333835333	0.00310793070889	0.00265973592889	0.0036275188665	0.00259780775469	9.329294314e-05	0.000363574283052	0.0209357536509
l	0.383849115185	0.555857463352	0.0136350638844	0.00301803492963	0.00205779771963	0.0022151322005	0.0015851068129	8.92218658533e-05	0.000517540512917	0.0371754718603
a	0.243688527062	0.683816087784	0.0214357649615	0.00297643485321	0.00185041163854	0.00173601262517	0.00124651269797	8.78940628011e-05	0.000568875574939	0.0425934311488
n	0.128539204354	0.809543639261	0.0326992896538	0.00233983422774	0.00160847894485	0.00125725250006	0.000739373126323	5.02088564504e-05	0.00031130152228	0.0229113819116
a	0.120254538118	0.723206223087	0.133159074218	0.00329311064258	0.00165550525495	0.00115202521002	0.000599004278774	3.86635825501e-05	0.000227873616427	0.0164139418005
v	0.108234475373	0.684455587696	0.193413184739	0.00416852094753	0.00190896625832	0.00120864801334	0.000504362362925	1.66893325834e-05	8.32682614757e-05	0.00600624789683
r	0.113040134458	0.591671332565	0.25214080158	0.0104464752158	0.0200076916528	0.00549621793778	0.00212452032098	7.18680001945e-05	6.79030341586e-05	0.00493298843228
ì	0.109235818153	0.307303109522	0.50512649386	0.0391665664053	0.0258283819509	0.00653777521259	0.00246092452033	8.79854967648e-05	6.30149828862e-05	0.00418988599076
k	0.048159843051	0.168105798507	0.669798797953	0.0618286644684	0.0164916630503	0.0089900723042	0.00285106602011	7.51938689549e-05	0.00104222015913	0.0226566715103
o	0.0277190826837	0.107877624669	0.699962319318	0.106588065823	0.0147477389168	0.0098893593014	0.00299959363004	7.1309853885e-05	0.00136525105481	0.0287796786434
a	0.0173164912279	0.060790066723	0.689507206439	0.179943461941	0.0258332202056	0.0130842656338	0.00319824173335	3.03543798617e-05	0.000469999502037	0.0098267549878
f	0.0122168454093	0.0563248345743	0.58147017548	0.25788496398	0.0473901544019	0.0278689035446	0.00636033381112	5.62808576206e-05	0.000295063952679	0.0101325229626
ù	0.0175683858031	0.0424073165248	0.39696226516	0.424813921327	0.0642627764673	0.0326050945149	0.00975111660371	8.72704592069e-05	0.00040150728756	0.0111404009875
r	0.030934946601	0.0327639205083	0.252532915053	0.432646630442	0.0902724121558	0.0641919348383	0.0194517398679	0.000350334476402	0.00757036806252	0.0692847946625
n	0.046040548867	0.0248823060028	0.161996726351	0.243346250147	0.244433180719	0.0900493216128	0.034389389956	0.00944536400213	0.0178607190208	0.127556149887
o	0.0381624889557	0.0129074846009	0.0885947134503	0.134377183382	0.464231016906	0.116754787204	0.0347029013187	0.012954685334	0.0140681133119	0.0832465854623
k	0.0190259339852	0.0184157906336	0.0809642644834	0.105215032794	0.465349008969	0.152532442401	0.0402019317729	0.0132470304447	0.0129753070756	0.0920732556541
a	0.0129124769951	0.0192425317445	0.0659585401611	0.0836653739313	0.33633018299	0.2863386408	0.0714935572576	0.0168865008149	0.0126946676985	0.094477565818
k	0.0130806339984	0.0170456847815	0.052523113387	0.0535777369771	0.24157802433	0.388738110267	0.107256249086	0.0205081272716	0.0072867732395	0.0984055925393
a	0.0130592444328	0.0167012599272	0.0412914757957	0.0332423693257	0.148297939777	0.409358550089	0.210978296362	0.0212534627572	0.00572152477983	0.100095906546
n	0.0126358819109	0.0146522343091	0.0298792585986	0.0178753614419	0.0838407625923	0.42865805003	0.299719215454	0.0325484019191	0.00577838629328	0.0744124632153
n	0.019198631637	0.014893427203	0.0227892722995	0.0107515059806	0.0598138018641	0.291126843343	0.247690541818	0.138088229306	0.0287450700978	0.166902683072
i	0.0157985235457	0.00763282166767	0.0140769231998	0.00809868082687	0.0435715566214	0.199286064448	0.326860500606	0.187552926435	0.0345172393659	0.162604755691
u	0.0068528301819	0.00435175855589	0.0105447909333	0.00614000724229	0.0241907368738	0.170750874816	0.560266880202	0.133042132145	0.0170497549553	0.0668102442303
n	0.00889539539397	0.0083135886853	0.0102760958444	0.0033077437141	0.0118261338246	0.105968061605	0.548894513401	0.202837647382	0.0190454741518	0.0806353757434
r	0.0113505806313	0.00916376222843	0.00966025208147	0.0024088351047	0.00769010014153	0.060190663535	0.313040984467	0.422944682461	0.0340051487173	0.129545025248
ù	0.00701007614377	0.00415423934281	0.00502457216049	0.00221064490157	0.00525253171384	0.0382426865117	0.322306911489	0.436700164154	0.0741008369058	0.104997373749
