 	è	che	stanno	ancora	alzati	</S>
è	0.70496291	0.037489961	0.01119427745	0.062655058578	0.0154986344939	0.168199216805
n	0.475048433333	0.075857417	0.02005230015	0.0684900088593	0.019759430998	0.340792438935
a	0.270147678778	0.246037015667	0.153614607717	0.0319192649531	0.0108823107993	0.287399146312
s	0.109518175593	0.305992275222	0.398041192572	0.0347500443177	0.00496064576643	0.146737705437
t	0.046620787531	0.182128641741	0.634871644191	0.0339511830059	0.00296033569814	0.0994674208457
a	0.0293430515103	0.12029312058	0.79914600473	0.0153354391353	0.00100034220305	0.0348820297152
s	0.0203113116701	0.08497159686	0.812144058243	0.0463233096118	0.00218511229535	0.0340646103051
ù	0.0661663367234	0.0754189789533	0.712757732748	0.108052369871	0.00275066693178	0.0348539308684
n	0.0815823255745	0.0623965023178	0.543272767583	0.259372036624	0.00481718564393	0.0485591893895
e	0.107563308525	0.0575991067726	0.344275069194	0.425887832208	0.00848730538131	0.0561873507965
a	0.116558377042	0.0520345862575	0.167438794065	0.612239744069	0.0220427596271	0.0296857262655
n	0.0449517098807	0.0267562757525	0.0633611950217	0.788555248023	0.0439893008757	0.0323862440885
k	0.0670302066269	0.0580116182508	0.0464666763406	0.589961276008	0.0472770569586	0.191253123363
ò	0.122313738876	0.0794085037503	0.0504843597802	0.436168152003	0.0593691999862	0.252256021121
r	0.092823316092	0.0452630555834	0.0369124155934	0.600344517334	0.106156086662	0.11850058104
a	0.119048178497	0.0361655041945	0.0334249678645	0.540060049111	0.175373242221	0.0959280410133
o	0.128590435999	0.0327439221315	0.0260121607548	0.277849794704	0.385282047407	0.149521617004
r	0.046209111833	0.0197538194438	0.0120437243849	0.124026477901	0.660375332469	0.137591521001
t	0.0231331972777	0.0203752208146	0.00930141646163	0.0647780233003	0.605716040823	0.276696119
ì	0.0211614670926	0.0185150102715	0.00778478882054	0.0339598317668	0.430739416941	0.487839489667
</S>	0.0221463705463	0.0161908941357	0.00642239991027	0.0231288728834	0.41572419347	0.516387269834
