 	le	buone	canzoni	si	scrivono	alla	notte	</S>
t	0.834403605	0.1405940044	0.00679232042	0.0040066021885	0.00305874154715	0.00281922193085	0.00196000067205	0.00636555536475
a	0.636439631667	0.337984881467	0.00700357884	0.00420695916283	0.00313466061572	0.00282967857362	0.00196237251668	0.00643822224492
k	0.385119167222	0.584321080489	0.00758301698	0.00848874915428	0.00263210063857	0.00107196648787	0.00133014046489	0.00945373653831
à	0.194816252407	0.77146304683	0.00911417599333	0.0100560569514	0.00250898093619	0.00047977662229	0.0011178377469	0.0104438030428
j	0.105479925469	0.858725648943	0.00771710099778	0.00965254721713	0.0016506033354	0.000189366483763	0.000895482974233	0.0156892475443
o	0.119745143156	0.804728316314	0.0460178243326	0.00986726280571	0.00134346103847	8.98763713877e-05	0.000820473449724	0.0173876294348
t	0.117478060385	0.794371328771	0.0683984664442	0.0099307880019	0.00184335167282	9.45873605959e-05	0.000324746294888	0.00755869689827
r	0.0954057194617	0.629538112924	0.250635987148	0.0139822710006	0.00296489065761	0.00100131779687	0.000193232394963	0.00627848523276
a	0.0936907591539	0.289525630975	0.598352209049	0.0106640523335	0.0021556140792	0.00126032080129	9.86742294543e-05	0.00425272359759
v	0.0447236630513	0.352003256992	0.575225693016	0.0153609697778	0.0065716753864	0.00137966840276	0.000208931064285	0.00452608228586
ù	0.0265757030171	0.359451424331	0.571920334339	0.0224597395926	0.0130405551288	0.00145470394759	0.000250995522428	0.00484651309529
d	0.021288727339	0.192678263444	0.683985711446	0.0404617445309	0.0229996433763	0.00239175129586	0.000882881775143	0.0353112953651
i	0.0217422754463	0.139360102148	0.610491137149	0.138612729844	0.0377425647921	0.00484900216529	0.00109635293471	0.0461058641217
a	0.0223955021488	0.080314041716	0.43816785905	0.260919553281	0.166543437264	0.0142459577218	0.000462321921237	0.0169513584739
i	0.0223918163829	0.0753584339053	0.208189853017	0.261038284427	0.386256769088	0.0391397899073	0.000396793050412	0.00722827035797
g	0.0255839941276	0.0694016189684	0.101795214339	0.211319268142	0.511960736363	0.0714708916358	0.000899356693471	0.00756891788599
r	0.0253564890425	0.0816250359895	0.0753317847797	0.153824010714	0.409789005454	0.179812927212	0.00322399476449	0.0710367242953
à	0.0208874605808	0.0669550798965	0.0579517775932	0.0806919255713	0.426385071818	0.254667945737	0.00387591695483	0.0885847863318
f	0.0156258347603	0.0308401315322	0.0239826126977	0.0551414891904	0.516209690606	0.269699945246	0.00700711601828	0.0814931536773
u	0.0154071875868	0.0193833189441	0.0158670633992	0.0421123247301	0.359739230202	0.446790901749	0.0119550593394	0.0887448898924
t	0.0113713762956	0.0136159174147	0.0128302935997	0.0272978032434	0.213431723401	0.573776133916	0.0300643151131	0.117612425297
t	0.00934995319853	0.0108351903049	0.00815389833323	0.0152141767478	0.111550439467	0.536752544639	0.0816000470377	0.226543735099
e	0.00851821789951	0.0055698002683	0.0107571937777	0.0121342792493	0.0648459381557	0.48414833488	0.146486572346	0.267539668366
a	0.0079711434665	0.0126886804228	0.0122220352592	0.0134614744164	0.0587074193852	0.48488946496	0.181274154115	0.228785672789
t	0.0110962731555	0.0234071521409	0.0102422560864	0.0108268241388	0.0401162737951	0.435595711653	0.256893324705	0.211822234263
s	0.0172643967185	0.0196246275803	0.00877731836213	0.00774204551293	0.024841584465	0.264203147218	0.313197558235	0.344349328088
è	0.0148332195728	0.0088326191601	0.00616652185404	0.00408126070431	0.0120893881883	0.128356292406	0.436449329412	0.389191346029
n	0.0236845455243	0.0243807284867	0.00444495768468	0.0037921411681	0.00991155322943	0.095989520802	0.477634203137	0.360162298676
ì	0.0277093919414	0.0296518216289	0.00388229929489	0.0039699880227	0.00833065340981	0.0856423612673	0.449775951046	0.391037456225
t	0.0141472330805	0.0124781275096	0.0022881689983	0.00307618197423	0.0053503436366	0.0492080887558	0.594471717015	0.318980048742
t	0.00870470186017	0.00649858005653	0.0018456672661	0.00164037975141	0.00309257464553	0.0274430412519	0.760817172338	0.189957798581
a	0.00408193216339	0.00235974810551	0.00189801812203	0.00147475647714	0.00335037091518	0.0174996367506	0.591231027446	0.37810445186
</S>	0.00235697564669	0.00140284210276	0.00157186896101	0.00195712723857	0.00468624910759	0.0184839563753	0.330412718723	0.63912821093
