 	guardando	le	nuvole	sapevi	che	sta	per	piovere	</S>
k	0.66322781	0.140849265	0.0346012535	0.08014641	0.01458820322	0.008477575285	0.017930708547	0.012264297059	0.02791456143
a	0.408581248333	0.397242501667	0.0340430011667	0.0790981858	0.0145137436067	0.008428437377	0.0179359942267	0.0122478499636	0.0279090692767
n	0.180766681111	0.728812680556	0.0210664693889	0.0331964334	0.0066948040689	0.00335116520767	0.00652964025323	0.00453239616513	0.0150497312256
o	0.0762730597037	0.864551026852	0.0202920811296	0.0178039495467	0.0040793890163	0.00165254795222	0.00271619520941	0.00195956109961	0.0106722170302
n	0.0435073575679	0.894458162284	0.0266139873765	0.00973484676223	0.00456163066543	0.00101764940041	0.0014366535948	0.0015654723111	0.0171042952984
ì	0.0328464711893	0.870610430761	0.0619185137922	0.00726064325408	0.00478709198848	0.000819037660137	0.0010121313646	0.00143565845757	0.0193100952661
s	0.0267527797298	0.84071066692	0.0842209879307	0.0118024452514	0.00675852242949	0.000978875413379	0.000706749854533	0.00235063737306	0.0257183852554
o	0.0202359670766	0.582597112307	0.341952215977	0.0157549384171	0.00738902936983	0.00101795919746	0.000601501830178	0.00265390436976	0.0277973977485
n	0.0177124795255	0.377345984102	0.538847371992	0.038505982139	0.00706077901661	0.00112643055882	0.000660323422059	0.00152742680199	0.0172132169128
t	0.0163266091752	0.290465069367	0.517887203997	0.0792222040463	0.0605760150055	0.0132163792863	0.00543402117402	0.002182568534	0.0146899045709
a	0.00698406072507	0.126077793456	0.692978447999	0.0688910123488	0.0742317446018	0.0164792936598	0.00659297503801	0.00175863369437	0.0060060508503
t	0.0127802812417	0.085588108152	0.750105016	0.0986613184496	0.0319754504673	0.00662943948427	0.00318469905934	0.000937830181157	0.0101378720101
e	0.0179483004139	0.0719049217173	0.715716738667	0.157586629483	0.0190362143891	0.00336346180142	0.00212277843311	0.000664834039286	0.0116561264367
s	0.0169803264713	0.0564470029058	0.695950602889	0.202468983161	0.015294241363	0.00192439657381	0.0014454878577	0.000390823445329	0.0090981475789
m	0.0148862980571	0.0463291144686	0.524833244296	0.294267934387	0.0695592954543	0.0235288548913	0.0072808509859	0.00094592833511	0.018368454193
à	0.00915431791903	0.0190801869895	0.354711724765	0.471874211462	0.0885249041514	0.0301902449071	0.00875151340863	0.000964352422037	0.0167484577743
n	0.016881775973	0.0166160389965	0.242657431588	0.617619737154	0.0552430177171	0.0190107259124	0.00606398354954	0.00146976965101	0.0244374829681
t	0.018301330391	0.0148501856655	0.143176004863	0.603384129051	0.124184469906	0.0477925263041	0.00992154318318	0.004934748217	0.0334551039894
e	0.00837275053033	0.00854067332183	0.0917839039543	0.523801849684	0.280755303302	0.0526793994347	0.00973519546106	0.00494894161767	0.0193819977631
ì	0.00675189174344	0.00893071487394	0.0643525416514	0.522239573228	0.340304121101	0.0302478381449	0.0154525605537	0.00175085705122	0.00996991145437
t	0.00935577748115	0.013749508958	0.0348706268838	0.558852257743	0.296657377034	0.0460340370483	0.0228568465179	0.00451278631707	0.0131108025848
s	0.0146994904937	0.0131586955193	0.0211636916279	0.412739052581	0.235073962345	0.107683605683	0.0270813561726	0.0117124387724	0.156687712195
e	0.0158710704979	0.0090823773731	0.020182887876	0.217819224194	0.273723034115	0.191683911894	0.0551503163909	0.0103202023241	0.206166983398
r	0.0216960054993	0.0147672941244	0.0245677229587	0.221063914731	0.276692786705	0.241474980631	0.0664664234636	0.00707441334137	0.126196440466
e	0.0266047371664	0.0168129370415	0.0226381736529	0.194087088244	0.197675390902	0.299374326877	0.142653272488	0.00620536618046	0.0939486471553
k	0.0479485577221	0.0245073533472	0.0226230708843	0.0999766094147	0.157455893634	0.354945908959	0.178825728829	0.0117137366268	0.102003086052
a	0.0566823409074	0.0283931284491	0.0214888569614	0.0648755058049	0.092835602878	0.300851102986	0.31422310761	0.0137643674089	0.106885956351
n	0.0544733303025	0.0325842001497	0.0216232769871	0.036066857935	0.0617159349593	0.269522000995	0.38619418587	0.0357228963363	0.10209731645
a	0.0507837154342	0.0327959913832	0.019902201329	0.0249948783117	0.0417577519864	0.217751213665	0.465326298623	0.0437365812454	0.102951351483
v	0.0303774478114	0.0236470834611	0.0149173437763	0.0146843914372	0.0242850249955	0.121702387888	0.527126069541	0.0892361375485	0.154024083161
r	0.0541997199371	0.0232209551537	0.0144392565921	0.0133256854791	0.0141336479985	0.107723519296	0.29028007318	0.115493698183	0.367183444387
è	0.0567721503124	0.0155790664846	0.0119936265307	0.00917732622637	0.0098448979995	0.0841565107653	0.356674074393	0.097315655061	0.358486708129
t	0.0500510871041	0.0130655562615	0.00859661684357	0.00712148280879	0.0098661536665	0.105132614588	0.390876088131	0.16844600502	0.24684441271
s	0.0474737358014	0.0110992963538	0.00686906651452	0.0085465582696	0.0128526788888	0.163341084863	0.183743499377	0.334283311673	0.23179074757
i	0.0187413142005	0.00464064251793	0.00448347147151	0.00673600518987	0.0134825472963	0.121519775288	0.121355196459	0.387685703891	0.321355312523
</S>	0.0107541153503	0.00312434045896	0.00349956533575	0.00459839774493	0.0107025221481	0.066350428144	0.12944835823	0.325193876946	0.446328386262
