 	siete	cucinato	</S>
ì	0.866732425	0.06921375805	0.0640538743
s	0.815316058333	0.0738486940167	0.1108352781
e	0.876271869444	0.0308357794389	0.0928923847
s	0.707099406481	0.060686279913	0.232214343567
t	0.388485945494	0.325817286638	0.285696791189
a	0.240473891831	0.509002262213	0.250523900396
m	0.148856497277	0.399497407404	0.451646126799
a	0.126752045759	0.296064475801	0.5771834756
r	0.105012158586	0.3438498786	0.551137958533
à	0.059842338862	0.430434502867	0.509723119511
t	0.048736918954	0.513542524289	0.437720499837
a	0.0312906426513	0.410477398096	0.558231936612
</S>	0.0238703508256	0.230990264048	0.745139383306
