 	il	cibo	ee	vuole	mangiato	subito	e	presto	</S>
t	0.699832795	0.281108918	0.005155260712	0.00091636819825	0.0010103633688	0.005763947314	0.0011951235288	4.304038705e-05	0.00497415871355
o	0.550100675	0.430033636	0.00572013237067	0.000952150636083	0.00108008449627	0.00583528531467	0.00123438429293	4.30588696833e-05	0.00500055739118
f	0.384294829333	0.583456808667	0.0203137990902	0.000896490548694	0.00069253539209	0.00233424054822	0.00100179851431	2.63329555611e-05	0.00698314861706
à	0.291236767444	0.662938432889	0.0345197610301	0.00101382859623	0.000560634697363	0.00111878904274	0.00094168186477	2.25032848537e-05	0.00764762680902
i	0.243248567148	0.72047903763	0.03175865101	0.00059981294541	0.000288289950788	0.000419884096247	0.00041446521159	1.05982138612e-05	0.00278074108634
e	0.0886317030493	0.77168305921	0.135061301337	0.0026954677818	0.000330425955263	0.000199484129082	0.000231319387197	3.89937986373e-06	0.00116336515211
e	0.0371737450164	0.570253969737	0.382413200446	0.00863847739393	0.000637504685088	0.000172867711361	0.000201843609066	2.00246208791e-06	0.00050640570737
t	0.0158023884721	0.368166323246	0.598903733482	0.0132169221313	0.0013177512617	0.000880315263787	0.000381505496355	3.41390336264e-06	0.00132767091579
è	0.00782654262403	0.200629106549	0.742114697827	0.0442574953771	0.00179455598723	0.0013254581346	0.000437907165452	4.20698155421e-06	0.00161003127193
l	0.00445327537468	0.0900537656497	0.823081185942	0.0748466217924	0.00207121822908	0.00165873819153	0.000634983721817	4.45442594181e-05	0.00315565279064
i	0.00767574795823	0.0637550332166	0.636487925314	0.241369683931	0.036540804243	0.00872703683051	0.00168595207394	5.76568222727e-05	0.00370017158355
f	0.00869562235274	0.0473363050722	0.405477818438	0.463558604644	0.052386867081	0.0145432676102	0.00258339452465	0.000115678266558	0.00530245984785
a	0.00576414981758	0.0303731786907	0.263782479479	0.505679878215	0.164974068027	0.0204353598701	0.00305786890822	0.000135906504853	0.00579709939928
m	0.00488438220586	0.0168889045636	0.131279421493	0.566740739405	0.224415396009	0.0453249599567	0.00366574533607	9.48870076177e-05	0.00670553758309
è	0.00328423190195	0.0116367748745	0.0742732971643	0.525855493135	0.27531862867	0.0989940466522	0.00337757027869	8.48355888726e-05	0.0071750991277
n	0.00368388763398	0.0119360999782	0.0413680750548	0.460243344378	0.324628929557	0.136616022217	0.00582209242623	0.000468768749291	0.0152327869759
o	0.00326251131133	0.0120814409261	0.0286405806849	0.345994134126	0.328930563186	0.208847574072	0.0537748164754	0.000603446244097	0.0178649622086
s	0.00215391263711	0.00662055057537	0.0126981434283	0.149687068709	0.393930404395	0.351284044691	0.0693014534918	0.000560050609032	0.0137644242862
ù	0.0020950731457	0.00468052072512	0.00646548694277	0.0834864972363	0.407850551465	0.44272600823	0.0393636838306	0.000591535276344	0.0127406958287
b	0.0030241947819	0.00398477144171	0.00392611031426	0.0452894360788	0.409398897155	0.47991386941	0.0361576416102	0.00124213409878	0.0170629493429
i	0.00275501804063	0.0036406708439	0.00293949177142	0.0284228817929	0.269271769052	0.389668463137	0.28180466287	0.00178456259959	0.0197124713143
t	0.00183482779354	0.00290037297797	0.00213944719047	0.0139650438643	0.142079668351	0.434499881046	0.369522418957	0.00441411359986	0.0286442359714
o	0.00159293695451	0.00266977587932	0.00189067343016	0.00943377962143	0.0985822447837	0.412498524349	0.434133737652	0.00636810069995	0.0328302403238
è	0.0038031273415	0.00266603284644	0.00373250084339	0.00515391970714	0.0530648942612	0.307943752116	0.555674762551	0.0427227127333	0.0252382911079
p	0.0049375481805	0.00316743818215	0.0043005445478	0.00357496406905	0.0355227674204	0.304074667372	0.428761254184	0.178001144244	0.0376596253693
r	0.0128244524602	0.0115883856274	0.0037045248826	0.00437789735635	0.0260026034735	0.229635285791	0.311685538061	0.287582768081	0.112598513456
è	0.0152352941201	0.0139055753091	0.00355884062753	0.00448098995212	0.0169553341578	0.157983395097	0.22694522602	0.38276228936	0.178173034485
s	0.00833920434003	0.0100861508697	0.00194270380918	0.00324756138404	0.0168994950526	0.0860573615323	0.18951621534	0.517056876453	0.166854411495
t	0.00574226386001	0.0087378592149	0.00103391977906	0.00217196877001	0.0134105084485	0.0573734364908	0.0956153121467	0.710860272151	0.105054410665
o	0.00214583194667	0.0030460518833	0.00065494526902	0.001523852832	0.0084379905805	0.0226003691436	0.0486168700822	0.61616979405	0.296804217055
</S>	0.00122072434334	0.00170372077165	0.00076784493451	0.001926020916	0.0101549742903	0.0164207110718	0.0489955185411	0.378441767025	0.540368658528
