 	vuole	pianto	</S>
e	0.986194665	0.004400786325	0.00940454465
t	0.944654565	0.0134628304417	0.04188260555
è	0.934713955	0.0143149536472	0.0509710725167
l	0.810860218333	0.122982259716	0.0661575001722
i	0.604878866111	0.160810627572	0.234310523391
k	0.40135572737	0.247586756857	0.35105754113
l	0.295722664457	0.279630708619	0.42464661371
a	0.259504424819	0.102554385206	0.637941171237
m	0.131548923606	0.159035414402	0.709415657079
m	0.160652976535	0.185278907134	0.654068135693
è	0.163702341178	0.073482870078	0.762814828564
n	0.152064542726	0.202041832059	0.645893632855
o	0.147021360242	0.24525898282	0.607719634285
</S>	0.078281709121	0.12384519961	0.797873067143
