 	il	dito	si	gonfiò	</S>
o	0.9128929	0.05578603225	0.005038893	0.00226980089	0.0240123625365
d	0.6159076	0.345815534083	0.0054559087	0.00232319797667	0.0304977425122
à	0.360715266667	0.613653078028	0.00459731776667	0.00103938247222	0.0199949590041
t	0.261119252222	0.672089626009	0.0362365824222	0.00163244255741	0.0289221025014
t	0.152737354074	0.761258242003	0.0510360891407	0.00235676451914	0.0326115245005
i	0.166136871358	0.771024347334	0.0393624993802	0.00209473657305	0.0213815155002
l	0.131565025119	0.732726015778	0.0627208097934	0.0172453038577	0.0557428038334
o	0.15920926304	0.499539751926	0.224141071931	0.0444470346192	0.0726628479445
è	0.172836116347	0.213517173975	0.289999180644	0.26913606354	0.0545114443148
p	0.070546262549	0.102211824325	0.188928460215	0.513661054513	0.124652389772
r	0.0358522859497	0.074309177775	0.126784081738	0.608966068171	0.154088396591
i	0.0599337586499	0.0681822972583	0.0920341589127	0.563424506057	0.21642528553
m	0.0580514714166	0.0344809717528	0.0650455996376	0.600083935352	0.242338033843
m	0.0411492490055	0.0239122249176	0.0407536648792	0.706425011784	0.187759863281
è	0.0365318510018	0.0181919678059	0.0345366532931	0.491404797261	0.41933471776
n	0.0159539782006	0.016109564102	0.018051085431	0.520625159087	0.429260189587
o	0.0191993632669	0.015294481134	0.015844306477	0.500253477362	0.449408363529
</S>	0.0272404976334	0.010013927717	0.0187164687385	0.275093025181	0.668936081765
