 	prima	di	andare	alla	scuola	</S>
p	0.96991125	0.00730568143	0.00366373128975	0.00044143205895	0.0103714021372	0.00830650871185
r	0.947047623333	0.0278268011433	0.00591847259658	0.000481054426317	0.0103755394234	0.00835047646062
ì	0.688098247778	0.294273247048	0.0101709055322	0.000295619025439	0.00348814338213	0.00367381084354
m	0.417515599259	0.519450499016	0.0204177035107	0.000855837485146	0.00590235199071	0.0358580037478
a	0.292814909753	0.603715466339	0.0499691768369	0.00106511550172	0.00668289549267	0.0457524527016
n	0.156510456584	0.73962326878	0.074428782279	0.00178522637391	0.00432463832666	0.0233276593529
a	0.102511567528	0.648679322927	0.223250854093	0.00576640912464	0.00355852184555	0.0162333785176
p	0.0640544425093	0.491747334309	0.422818818031	0.00944745770821	0.00235279778518	0.00957918490587
à	0.0396604961698	0.339365123436	0.594055459344	0.0151071682361	0.00373154936173	0.00808020430196
i	0.0223865780566	0.159052881812	0.731774519781	0.0676525947454	0.0108731471206	0.00826030410065
s	0.0113321361855	0.076235573604	0.650835016594	0.182918854915	0.0413201647069	0.0373582683669
t	0.00772005399517	0.0418861775347	0.408041366865	0.450931351638	0.0456847884356	0.0457362271223
i	0.00584934176506	0.0338435168449	0.324998713622	0.586004943879	0.0198996098452	0.0294038160408
s	0.00584249992169	0.036018857615	0.286725813207	0.474131811293	0.0726531801151	0.12462777468
k	0.0220456446406	0.033097382205	0.157019424402	0.544450297098	0.0908818443717	0.152505380893
ò	0.0271214458802	0.0313875720683	0.135258292801	0.580521129033	0.0949380824572	0.130773459631
l	0.0176193109601	0.0329423700228	0.1559296476	0.440048809678	0.139116994152	0.21434286321
a	0.0144352166534	0.0350762203409	0.1539555092	0.272012354559	0.141777384717	0.38274332107
</S>	0.0104980728267	0.0289096136705	0.1407299196	0.16366182928	0.144847297358	0.511353260535
