 	Valeria	legge	il	giornale	</S>
e	0.997808175	0.001450490648	0.00038415761	3.35516959e-05	0.00032361493
V	0.995641605	0.001704357516	0.000614007503333	4.06578413e-05	0.00199934505667
a	0.980805581667	0.015960098872	0.000767354057778	6.51991384333e-05	0.00240171554222
l	0.930713027222	0.045657870624	0.00450618460926	0.000898657399478	0.0182242477041
è	0.924550729074	0.044704215208	0.00594363753642	0.00113886971916	0.0236625611214
r	0.830740139691	0.088775586736	0.00680944651214	0.00275254272572	0.0709222865938
i	0.66994080323	0.194646708912	0.045459543504	0.00332889802857	0.0866240267813
a	0.426936182077	0.479690169637	0.0627866368347	0.00135858399619	0.0292283870438
m	0.156783861692	0.792998143212	0.0356241812782	0.0010483115654	0.0135454715479
e	0.0806011852307	0.807126767737	0.102500643759	0.00138524138847	0.00838614976263
l	0.0493911260769	0.809562809246	0.130364361253	0.00172161242949	0.00896008583421
e	0.031981336359	0.645101776415	0.310646993751	0.00264632470983	0.00962357704474
t	0.031053608453	0.507572945472	0.421951474584	0.00507309800328	0.0343488664482
à	0.022963063151	0.407769205157	0.515485934861	0.0107243166678	0.0430574842161
o	0.015095227717	0.251159265052	0.640537868287	0.0634933988893	0.0297142678054
g	0.0107954115723	0.271097575017	0.515520712762	0.14698077963	0.0556055349351
i	0.0144948341908	0.234719778339	0.497355457587	0.169668809877	0.0837611483117
o	0.0159858519303	0.18492211278	0.443725865862	0.261424156626	0.0939420594372
r	0.00932867184343	0.221290167593	0.274184851954	0.330169868875	0.165026489812
n	0.0135068006145	0.194665140531	0.137585345318	0.199997904625	0.454244823271
à	0.0191159182048	0.0754093065103	0.131849319773	0.0903267752083	0.68329864109
l	0.0156351304016	0.140788553837	0.154502646591	0.145517167069	0.54355643703
e	0.0141861981339	0.161225922279	0.149096918864	0.147067393356	0.528423535677
</S>	0.0153107915669	0.0860413776395	0.157442324432	0.078801043178	0.662404467838
