 	voglio	che	Maria	è	di	venire	domani	</S>
t	0.83276382	0.0261336177	0.1188144305	0.0038519692778	0.0026358953415	0.00076552687195	0.00057861679135	0.014456074527
è	0.757591156667	0.0534324509	0.160707266833	0.00612677865927	0.0045078807805	0.000880216467317	0.000728666263783	0.016025565709
l	0.785740068889	0.0605371773	0.131138922278	0.00493817261976	0.00356130346017	0.000456718812439	0.000495847181261	0.0131317757697
o	0.546527241963	0.339554587767	0.0991502487593	0.00232844189659	0.00137385952239	0.000200758912163	0.00026780029461	0.0105970684516
k	0.192988647321	0.426723562589	0.37329387092	0.00174088015553	0.000649553676463	0.000142528322071	0.000125345857393	0.0043356332122
a	0.0937453134403	0.40728843753	0.492877306973	0.00314476705184	0.000456452198821	0.00013216098569	7.8403130231e-05	0.0022771603074
i	0.0588732659134	0.40112702551	0.532523885658	0.00622814135061	0.000283451836274	7.22118635633e-05	3.0969527177e-05	0.0008610318458
M	0.0245200157378	0.17075424817	0.795693041886	0.00657622748354	0.00123078690876	0.000100281144521	2.8341295059e-05	0.00109706905527
a	0.0643752875793	0.22140046939	0.692459593962	0.0160227911945	0.00437907046959	0.000165437278174	4.9445621353e-05	0.00114792084842
r	0.11320053586	0.233166154463	0.607416797987	0.0361774870648	0.00895733948986	0.000426421146058	9.5434828451e-05	0.000559808239473
ì	0.28596061862	0.160099472821	0.451986913662	0.0808788923549	0.01947608383	0.00113583904869	0.000117311497484	0.000344843216491
a	0.304750912707	0.113238269407	0.196901352221	0.343787380785	0.02445302461	0.0125433429162	0.00109867379383	0.0032270120155
è	0.102438403469	0.041705194269	0.117026171074	0.505361390262	0.178162584203	0.0487868886387	0.00227205143128	0.00424730237183
n	0.034948016173	0.0190875900897	0.0739220006913	0.380936793421	0.267551184734	0.158523389546	0.0603806959771	0.00465033982394
a	0.012469964541	0.0117129616966	0.0584819432304	0.267790834474	0.295750251578	0.261956059849	0.0858871829924	0.00595081307465
r	0.00490599533367	0.0107075978989	0.0434278697435	0.164825146158	0.304256267193	0.254112683283	0.204279975331	0.0134844584915
t	0.0284229353979	0.0430519359663	0.0361265975812	0.106477301719	0.288811795731	0.198394511094	0.261000921777	0.0377140048305
i	0.0363861905993	0.0521127927554	0.0324463691937	0.121191995573	0.369176365244	0.164364160365	0.137615410592	0.0867067149435
à	0.0124902452964	0.0203071285185	0.0281232779646	0.0985604578577	0.268937856081	0.345287236788	0.131038696864	0.0952551216478
v	0.00425449150447	0.00787154580617	0.0115513502215	0.0351888081859	0.113544196027	0.364636722263	0.411163665621	0.0517892628826
v	0.00517933494382	0.0542698930687	0.0261016740738	0.070455808962	0.0831060483423	0.137699547088	0.51498616854	0.108201536628
r	0.0279760593146	0.173623164356	0.0628379080246	0.148800912987	0.0997633227808	0.055809456696	0.28465115618	0.146538052209
i	0.0321094344049	0.163274141652	0.0570681876749	0.137304500996	0.0860184969269	0.0254919100653	0.13949032916	0.359243057403
</S>	0.0164705641525	0.083244401126	0.0328935313375	0.099124900498	0.0716780824635	0.0168663747827	0.07107928023	0.608642928702
