 	ho	cosa	a	fare	</S>
è	0.526887225	0.073180395	0.0024001885	0.278914419715	0.11861778483
c	0.232804825	0.192618948333	0.00343785683333	0.354302329905	0.216836048277
h	0.0964217856667	0.529149236111	0.00341556927778	0.198316804968	0.172696576092
o	0.0554928035556	0.784356312037	0.0168515570926	0.0750404669893	0.0682588546973
t	0.0422423991852	0.653310687346	0.0931214530309	0.15200652933	0.0593189408991
i	0.0493259200617	0.336106249115	0.356620864344	0.201121979777	0.0568249822997
k	0.0603955500206	0.142781862372	0.398647104781	0.242228759926	0.1559467261
à	0.198655216674	0.0759113654573	0.196326519594	0.330811963309	0.198294915367
i	0.233199795758	0.0368579917191	0.107531653531	0.353553661103	0.268856868456
</S>	0.118852933179	0.0202480977096	0.0621612202655	0.387997990551	0.410739734228
