 	ti	dico	una	cosa	però	non	parlare	di	queste	cose	con	Maria	</S>
s	0.617181135	0.3405603405	0.00830410632	0.00618519771	0.011722730445	0.0026733062688	0.006077152595	0.00257763014528	0.0014151881548	0.0006084864948	0.00026061083479	6.2859552655e-05	0.00237122890863
u	0.469766135	0.4762041135	0.0175210487733	0.00732980203667	0.012535535315	0.00279134395627	0.00640691499833	0.00266049206843	0.00142878322227	0.0006122858476	0.000263333042263	6.70609432183e-05	0.00241314867954
l	0.349865236333	0.614735281167	0.0175120232578	0.00415305641222	0.006215054805	0.00164077918542	0.00272307791278	0.00101330034614	0.000508962706757	0.000232171478533	9.7675456421e-05	3.32601624061e-05	0.00127008926985
è	0.295157036778	0.612889013722	0.0777880627526	0.00574377690407	0.00402501436833	0.00146853329514	0.00126812555093	0.000444295848713	0.000192957515252	0.000104003290511	4.23690121403e-05	1.88803610354e-05	0.000857889568283
o	0.276721612259	0.596769827907	0.112432795918	0.00671227786802	0.00357182688944	0.00186279193171	0.000862576216977	0.000325331489571	7.5696221084e-05	4.4647497837e-05	1.97786887134e-05	1.03378955785e-05	0.000590420334428
è	0.116485636753	0.583860502636	0.272992140306	0.012599493356	0.00909879482981	0.00210876127724	0.00193327030566	0.000318918039857	4.57916493613e-05	2.21648297123e-05	1.05465871045e-05	9.0366188595e-06	0.000514866983143
n	0.0620736759177	0.363379747545	0.501398930102	0.020765165452	0.0182669739433	0.0220748394591	0.00357535556855	0.000651869013286	6.79677304538e-05	4.37842253374e-05	5.70174102348e-05	8.87804359532e-05	0.00755586953271
a	0.0324873439726	0.207906984348	0.658905193367	0.0396474738173	0.0185898593144	0.0285658271997	0.00301394495618	0.000696363087762	6.15580286513e-05	5.01510431458e-05	7.17699922783e-05	0.000113138087818	0.00989037413257
p	0.0157160534909	0.075194789616	0.752931314456	0.0793562146058	0.0439632677715	0.0211537621132	0.00669603028539	0.00107593707925	7.21602613838e-05	2.87896540819e-05	3.13601182928e-05	4.18056294393e-05	0.00373849573252
r	0.0139118643303	0.0473365935387	0.576262728152	0.197620104869	0.115823859257	0.0265997737044	0.0162285694285	0.00285083569308	0.000878765190461	0.000100616271361	5.18454414309e-05	4.10120841464e-05	0.00229338801084
à	0.0160943067768	0.0325366238462	0.374004936051	0.341205241623	0.192666563086	0.0212581922348	0.0165501551428	0.00290713339769	0.00110986442882	0.000118127237454	5.4932062477e-05	3.88912674821e-05	0.00145498927695
m	0.0165086792589	0.0165119446154	0.280097762017	0.371416660541	0.238409714362	0.0430570577449	0.0161166543809	0.00411924663256	0.00069940577494	0.000212303732818	0.000207190312826	0.000231606885261	0.012411784999
a	0.0131802834863	0.0110482532651	0.175735349006	0.34275166018	0.367347881454	0.0516645952483	0.0162370817936	0.00467961521085	0.000564600888313	0.000241620783939	0.000255567427275	0.000294347645754	0.0159991616173
p	0.00576445259543	0.00495180651503	0.086557508002	0.261119146727	0.587938143818	0.0288853040828	0.0143141012645	0.00361803007028	0.000839689726104	0.00014601491098	0.000120963972092	0.000103624512585	0.0056412042901
e	0.00328928309848	0.00296793899168	0.0504541926673	0.148503722242	0.720505261273	0.0335549250276	0.0307999780882	0.00625426069009	0.00109556045203	0.000125109446993	8.28019540307e-05	4.25105215283e-05	0.00232446353003
r	0.00360811713283	0.00538536278389	0.0361138778891	0.081476886414	0.734913653758	0.0532108576759	0.0617388026961	0.0103399188967	0.00175366126068	0.000348823842331	0.00023794249801	0.000162368134509	0.01070975681
ò	0.00484773394428	0.00627772702796	0.0236229836297	0.0450462718047	0.582787471253	0.108405357892	0.194809990899	0.0173702166322	0.00232218298689	0.000458816807444	0.000317203367337	0.00020591119717	0.0135281690367
m	0.00773243698143	0.00356364090932	0.0157476112099	0.0276079706016	0.490392323751	0.155351422631	0.250900496966	0.0233894022107	0.00239964472896	0.000633359249148	0.000647993423779	0.000649919928057	0.0209838244456
i	0.00712476116048	0.00252531292977	0.0123697934033	0.0183786388672	0.37924267125	0.15077048421	0.313966098989	0.0832155264036	0.00660135624299	0.000809069649716	0.000791564954593	0.000796492986019	0.0234082831819
m	0.00440442622016	0.00326260913659	0.0115280901344	0.0133307372891	0.244733820417	0.138755034737	0.436780599663	0.110532736801	0.0136371574143	0.00122777184991	0.000859840398198	0.00047357069534	0.0204736667606
i	0.00335380040672	0.00349308783986	0.0103487340115	0.0096741164297	0.182225987472	0.108061778246	0.405888609888	0.231981476934	0.0227205701381	0.0014782150833	0.000963411959399	0.000366741799447	0.0194434896902
l	0.00318250530224	0.00270502074095	0.0086842989705	0.00664215547657	0.087064479824	0.073311132082	0.470414596629	0.293974475645	0.0317589147127	0.00145334732777	0.000954658513133	0.000389651310816	0.0194647523334
ì	0.00413274660075	0.00272191971365	0.0083226853235	0.00583979642552	0.054300613608	0.0635327413607	0.524163628876	0.254691848548	0.0566907295709	0.00275225287592	0.00230840347104	0.000449029913605	0.0200936024445
s	0.00881699886692	0.00220118547122	0.00688798744117	0.00507100834184	0.035550492536	0.0629219977869	0.485202182959	0.270787932849	0.0722133065236	0.00553855439197	0.00559547405701	0.00264410694787	0.0365688061482
i	0.00913523993231	0.00174763516041	0.00534600364706	0.00379527398061	0.026285210312	0.0424596466623	0.341414936653	0.39806470095	0.105064238841	0.0134811197973	0.00788514968567	0.00341806298929	0.0419028498827
t	0.0043343065541	0.00140300962347	0.00397589348235	0.0029299862602	0.017206272904	0.0211842969541	0.224411671218	0.481140900317	0.178765779614	0.0181524585991	0.00810983356189	0.00195371133643	0.0364319297942
s	0.00713350511803	0.00171320040782	0.00408605792745	0.00301929248673	0.0142148631347	0.0139188428514	0.170711156306	0.307082000106	0.283787846538	0.130969009533	0.022069021854	0.00206211024548	0.0392331295981
ì	0.00706605837268	0.00102555977261	0.00238110804248	0.00183846262891	0.00571156798823	0.00631331081713	0.062131693002	0.311654596702	0.307037968846	0.213921993178	0.059774105618	0.00181133564849	0.0193322761994
t	0.00630795479089	0.00111437976087	0.00258965474749	0.00189413920964	0.00489580677274	0.00422304553904	0.044688633334	0.343280625567	0.319107329615	0.152344981059	0.0738238385393	0.0069853396495	0.0387442803998
t	0.0066834260303	0.00114946262162	0.00258055131583	0.00188447451988	0.00443649107758	0.00286639922301	0.035797153788	0.188681828522	0.285045679872	0.36628489702	0.0515430328464	0.00841237055317	0.0446342415999
a	0.00315282364343	0.00043216168854	0.00161509310528	0.00135871165663	0.00260542351253	0.00247197351767	0.0145282780393	0.155531366174	0.188967289957	0.49221753234	0.103731197615	0.0109841578544	0.0224040336666
p	0.00248127758114	0.00108313607618	0.00265559996843	0.00194056461888	0.00344912010418	0.00273820387256	0.0112794194464	0.163051012058	0.248563263319	0.27471525078	0.138522125872	0.0270199852848	0.122501054556
r	0.00560524136038	0.00187224059206	0.00315928378948	0.00190573207296	0.00298163463473	0.00160348515752	0.00816008171547	0.0902755883527	0.27520604444	0.272017256927	0.138898758624	0.0316608450949	0.166653814852
à	0.00569534118679	0.00125166831402	0.00223616126316	0.00130398302432	0.00155749457824	0.00129714395251	0.00391045567182	0.0715589621176	0.180706843147	0.317905542309	0.302063842875	0.030154918365	0.0803576566173
m	0.00656763112893	0.00112131532134	0.00269443662105	0.00170156650811	0.00180189165941	0.00135616285084	0.00393287142394	0.0646828780392	0.135761376049	0.23008979077	0.394880330958	0.0683867527883	0.0870230138724
a	0.00717626837631	0.00109628846711	0.00328923747368	0.00221590276937	0.00226452095314	0.00184574518361	0.00509301947465	0.0691011930131	0.117129154016	0.185321050257	0.353136133653	0.146299397596	0.106032126624
t	0.00599708012544	0.0011771130157	0.00462751909123	0.00315100392312	0.00331239495105	0.0024137530612	0.00681932149155	0.0688063840044	0.0812572800053	0.133005833419	0.313834994551	0.196443725865	0.179153620875
a	0.00545606714181	0.0012388374119	0.00496631786374	0.00327673450771	0.00353704201702	0.00206845075373	0.00663121256385	0.0432808263348	0.0589379900018	0.069099853473	0.269589428184	0.310225255288	0.221691996958
