 	lo	sentii	che	viene	</S>
t	0.921407015	0.036089633615	0.004373236721	0.00268771932232	0.0354423868345
o	0.779104791667	0.173155444538	0.006387476907	0.00349664710744	0.0378555886782
n	0.524569220556	0.292998941513	0.0186410826357	0.00309101066915	0.160699699293
ì	0.291204273519	0.450565980504	0.0518663825452	0.00455447835638	0.201808878764
k	0.163898116173	0.475708343501	0.188373784182	0.0111599297855	0.160859825255
u	0.191928613724	0.286403927834	0.342426354727	0.0298217182618	0.149419382418
s	0.181235175241	0.163218772611	0.478191861576	0.0582308660873	0.119123324806
a	0.0773894890803	0.078069123537	0.516569847192	0.211563922029	0.116407622935
n	0.0394507503601	0.0478169475123	0.361865552397	0.41755544401	0.133311302312
a	0.0179584684534	0.0324954395041	0.189605510799	0.616279298003	0.143661264104
r	0.00996130113113	0.0248363688347	0.088342296933	0.745480752668	0.131379261368
t	0.0456068876904	0.0167809288449	0.0743390056443	0.560954210889	0.302318960456
i	0.0609672615635	0.027817712515	0.0719179675481	0.312738956963	0.526558090152
</S>	0.0361247392818	0.0437578602575	0.058833162274	0.247204898482	0.614079320076
