 	questo	muro	vuole	uno	specchio	</S>
c	0.992279855	0.00757476098	1.198930472e-05	4.7849813e-06	1.072059885e-06	0.000127344305115
ì	0.960933058333	0.03419440366	0.000165183429907	0.00149837370543	0.000113603884462	0.00309522003504
t	0.886593742778	0.10242345922	0.000461600879969	0.00218786593514	0.000228781731487	0.00810447684501
t	0.889443480926	0.101444260073	0.00047653559999	0.00101442053838	0.000221400787162	0.007399867315
o	0.882174276975	0.112233460358	0.00157774592333	0.00052471207946	0.000167666252387	0.00332208277167
t	0.575212122325	0.351628820119	0.0436986549744	0.00223473763315	0.00260399746746	0.0246216185572
ì	0.323463620775	0.555643573373	0.0822835083248	0.00348811684438	0.00344535850582	0.0316757950857
c	0.306507606925	0.532096624458	0.0830797461083	0.0256439723481	0.00302219031861	0.0496498505952
h	0.525791285642	0.325862495419	0.0576567715694	0.0323631012327	0.00285221418287	0.0554741258417
o	0.596625795214	0.304011252406	0.0608092533898	0.0177711821942	0.00156145120429	0.0192210210239
t	0.289015636405	0.300168082802	0.353228037797	0.0177232830647	0.00956889960143	0.0302960404413
è	0.111762110802	0.146270449601	0.656939995932	0.0297840520216	0.0139906484005	0.0412527774804
l	0.054975009934	0.105156579867	0.766513531977	0.0296134688072	0.00897742850017	0.0347640451601
i	0.127287988978	0.212060953289	0.598411547326	0.0178273990691	0.00803437600006	0.0363778103867
è	0.151209878326	0.245680835763	0.268178849109	0.021981401023	0.0384265076667	0.274522570129
n	0.0557964126087	0.128223659921	0.17622451637	0.053361315341	0.157669245889	0.42872484671
a	0.0244525447029	0.11767070664	0.141879492123	0.105698753447	0.18680430863	0.423494172237
n	0.0122623949343	0.107195442213	0.080161858041	0.176819137816	0.184968072877	0.438593080746
j	0.0329674990114	0.0646709815377	0.0507507050137	0.151628828739	0.178544488626	0.521437503582
a	0.0390530317505	0.0279961036459	0.0327423743379	0.13939123238	0.139340207209	0.621477054527
l	0.0138986876635	0.0328594862153	0.0256338191126	0.15576100746	0.239506632403	0.532340368176
ì	0.00565754972117	0.0323039798384	0.0215680935709	0.07627797742	0.217927330134	0.646265086059
</S>	0.00333618811058	0.0189918075692	0.0122095075855	0.04130045611	0.121858909067	0.802303163029
