 	sono	vestita	</S>
ì	0.56691306	0.388032911	0.0450540385
m	0.264679683333	0.656163287	0.0791570395
e	0.177738637778	0.690942162333	0.131319189833
n	0.125207124926	0.719135654111	0.155657189944
d	0.175492180642	0.537894984704	0.286612806648
i	0.198249595214	0.236684958235	0.565065445549
m	0.079161532238	0.237304109412	0.68353437185
è	0.0340016845793	0.228533639804	0.737464690617
n	0.0216073926931	0.395822656601	0.582569956872
i	0.014210736731	0.421874688867	0.563914565624
</S>	0.0101035578655	0.218972099434	0.770924312812
