 	che	vende	buon	pane	</S>
k	0.77934685	0.1983869472	0.004445409625	0.000702370685	0.017118430405
a	0.48781645	0.488523039067	0.005135308175	0.000718075148333	0.0178071075683
i	0.210644190667	0.778779689689	0.002643573225	0.000273454265111	0.00765908692277
p	0.085207598889	0.906503596563	0.00331613974167	0.000207751170704	0.00476493770759
u	0.0459060926297	0.918000665521	0.0257748240472	0.000542454010235	0.00977595633586
l	0.0606455658766	0.750882745174	0.0967131130157	0.00828522373674	0.0834733507786
ì	0.0940718452922	0.492394138391	0.292890001005	0.0113018073456	0.10934221326
t	0.0731184567641	0.30752618613	0.519726967002	0.0187405812152	0.0808878340867
s	0.0416517139214	0.15596900661	0.718347722334	0.0207969471717	0.0632346613622
o	0.0294075766405	0.07392039177	0.849654790778	0.0167475144906	0.0302697247874
m	0.0132852625468	0.112588208923	0.791571946926	0.0567459058302	0.0258086259291
ì	0.0138165781823	0.135081446308	0.523978465642	0.139524265277	0.18759920531
k	0.0137443608274	0.104297692103	0.253754831881	0.362205908426	0.26599718177
a	0.0116905047091	0.0970989740343	0.142806097294	0.494295116142	0.25410930059
l	0.0109457123364	0.0816736556781	0.0806281247647	0.541130642047	0.285621870197
ò	0.0156993372121	0.0499162115594	0.0400477222549	0.455431054016	0.438905680066
</S>	0.023521255106	0.0355952737797	0.0249239836274	0.280868202008	0.635091290033
