 	vuole	pianto	</S>
i	0.98466295	0.004905925325	0.01043110965
t	0.94926443	0.0122679831083	0.0384675738833
è	0.942490106667	0.0121839556028	0.0453259182944
l	0.811000685556	0.123892654434	0.0651066450981
i	0.601063921852	0.162727972045	0.236208101699
k	0.399575202284	0.246483094582	0.353941707233
l	0.297918629095	0.277459955861	0.424621422411
a	0.262389273032	0.101609834287	0.63600090747
m	0.132896909011	0.158192402762	0.70891070249
m	0.162374064337	0.184599507587	0.653026434163
è	0.165388673279	0.073259728529	0.761351611388
n	0.154022389593	0.200656278843	0.645321360463
o	0.149037631364	0.243498035548	0.607464343488
</S>	0.079332477932	0.122975131674	0.797692371744
