 	non	li	aspettiamo	più	</S>
e	0.893964825	0.079560283	0.00617404955	0.0059784969365	0.01432243135
t	0.637041548333	0.310924557667	0.00895926918333	0.00625706877883	0.0368176221167
u	0.291250026111	0.646976219222	0.0234739707278	0.00259071687961	0.0357090753056
s	0.133095616704	0.591891296407	0.153990803576	0.0048548041132	0.116167453035
m	0.157745180235	0.458685835469	0.186175243859	0.0174031150377	0.179990566345
è	0.167535251745	0.54663090849	0.15590474062	0.0201807028126	0.109748329782
n	0.093284848915	0.455569156163	0.277532240207	0.0532441264042	0.120369622261
u	0.0824262496383	0.265219125388	0.391539223402	0.132929055468	0.127886375754
m	0.0701143778794	0.180439815129	0.388314994467	0.152444343489	0.208686480251
e	0.0318318492931	0.123009965043	0.239528684822	0.35011331283	0.255516203417
p	0.0184145077644	0.0767462390143	0.100901087941	0.512734464277	0.291203721139
l	0.0088121102548	0.0590650086714	0.0437618235137	0.331846328092	0.55651474038
è	0.0117463944183	0.0361425325571	0.0204860563712	0.375919876031	0.55570515346
o	0.0117949445728	0.0181922938524	0.0131405259571	0.49029082201	0.466581411153
</S>	0.0067373329364	0.0131924794262	0.0108177677286	0.435323926005	0.533928485577
