 	non	sono	ancora	vestita	</S>
e	0.8784815	0.057857635	0.020218420575	0.0067639965975	0.03667847729
n	0.687286426667	0.180042365	0.0284914298583	0.0087601674325	0.0954196340967
ì	0.388849705556	0.484718795	0.0209478456194	0.0080181433775	0.0974655180322
m	0.192792226852	0.568280938333	0.0752635062065	0.0451048904592	0.118558459344
e	0.111462293951	0.573275002778	0.133504968735	0.0586729598197	0.123084802448
a	0.0708200839837	0.461983320926	0.344472036245	0.0639227429399	0.0588018481493
n	0.0376044446612	0.177383991642	0.629931898748	0.0897734043133	0.0653062873831
k	0.0325220095537	0.0925300718807	0.540055642916	0.218036824771	0.116855462461
ò	0.0617592305179	0.0670852449602	0.523121854305	0.235520035924	0.11251364082
r	0.0589334182393	0.0365784406534	0.744000934768	0.105764424641	0.0547227746067
a	0.10243814748	0.0332333015511	0.657962971589	0.0771623722137	0.129203209202
e	0.118015353293	0.0298265353504	0.366015582196	0.202853359738	0.283289179734
n	0.041811256031	0.0133135512835	0.173336421399	0.529742053246	0.241796720911
d	0.0208698628103	0.0146668857612	0.0897657577997	0.506347264415	0.368350224637
i	0.0159669996034	0.0167695149204	0.0565965042666	0.272750161472	0.637916841546
m	0.00993219153447	0.0285941956401	0.180969344756	0.266629120491	0.513875177182
è	0.0166558418448	0.03156860188	0.218073551585	0.233317153497	0.500384835727
n	0.0189467057483	0.0417948956267	0.109764093862	0.364770257832	0.464724031909
i	0.0089470385161	0.0432261755089	0.0684598962873	0.365812823611	0.513554050636
</S>	0.00602770895805	0.0220628982044	0.0365085656437	0.187304518305	0.748096275318
