 	ancora	non	mi	sono	vestito	</S>
a	0.92666465	0.053485705	0.0076240585	0.001788212	0.001676462153	0.008761021015
n	0.88008636	0.0734504083333	0.00871358116667	0.00206423093333	0.002200028251	0.0334854703383
k	0.592910663333	0.112565549444	0.160835087722	0.0629764163111	0.0255680509503	0.0451442707794
ò	0.424232307778	0.200520266481	0.231966525907	0.083782728437	0.0329724894168	0.0265256785931
r	0.457379115926	0.213401435494	0.163304271969	0.060456012479	0.0547728372389	0.050686280531
a	0.352789755309	0.127058915165	0.271749580656	0.128469020826	0.063198947413	0.0567337375437
e	0.213061113103	0.111508526722	0.339245296885	0.189668016942	0.112096720804	0.0344202985479
n	0.134091885701	0.113877687241	0.251007702295	0.215177195647	0.200922066935	0.0849234581826
e	0.115026078567	0.12110424908	0.172626374098	0.263366165216	0.185067815645	0.142809346061
n	0.0732504308557	0.0900208072267	0.106928020699	0.217823978405	0.360320081882	0.151656718687
d	0.0512029549519	0.0366555646089	0.0719953328997	0.223570406135	0.477459107294	0.139116629562
ì	0.0444138033173	0.0250662335363	0.0671020656332	0.286246042045	0.427922359098	0.149249456521
s	0.0230905991058	0.0195207435121	0.0429950332111	0.284557280682	0.444916849699	0.18491947884
i	0.0199484567019	0.0189235171707	0.036437709737	0.222537470227	0.3205516619	0.38160117628
m	0.014763133634	0.0160812770569	0.0283793052457	0.105342380076	0.369646112633	0.465787805427
o	0.00761556494467	0.0092911123523	0.0144754574152	0.050481931692	0.409472730878	0.508663235142
</S>	0.00704468697234	0.00984870567615	0.0112002422076	0.031279563346	0.293576805439	0.647050017571
