 	vengono	vestiti	</S>
è	0.8550631	0.108266366595	0.03667059085
r	0.793566713333	0.133054210532	0.0733791036167
k	0.658687057778	0.264623135177	0.0766898098722
u	0.406689912593	0.511339701726	0.0819703552907
t	0.227652150864	0.651405300575	0.120942551764
t	0.164070920288	0.720730933525	0.115198157255
e	0.117760975096	0.659246594508	0.222992412418
n	0.0520144376987	0.650937981503	0.297047584139
d	0.115712253566	0.645569610501	0.238718148046
i	0.129930680855	0.5047901635	0.365279162682
m	0.0458868925183	0.5185161645	0.435596960894
è	0.0168334046728	0.414186342833	0.568980293631
n	0.00791236739093	0.448018218944	0.544069436544
a	0.00473651353031	0.451837560981	0.543425930848
</S>	0.00309212151516	0.23665043749	0.760257465424
