 	il	lenzuolo	vuole	lavato	</S>
o	0.91549	0.0503098441	0.014518459881	0.00301456614445	0.016667106427
p	0.702467566667	0.1530703847	0.025665519627	0.00381066598148	0.114985875476
l	0.374655376556	0.181189958233	0.240344092542	0.00568281559383	0.198127795159
a	0.256328679852	0.127032829411	0.471788287514	0.00702490269794	0.137825345386
ù	0.209945321284	0.12536095647	0.593018819171	0.00857336606598	0.063101576462
n	0.0841824270947	0.0880201721567	0.773684049724	0.0116551816887	0.0424582098207
a	0.0469302483649	0.0400600700522	0.833503076575	0.0356017672296	0.0439048476069
t	0.0340065742883	0.0222954556841	0.859824422192	0.0455166904099	0.0383568292023
è	0.0272098102628	0.0180729815614	0.833277954064	0.0939049081366	0.0275343140674
l	0.0251397645876	0.0175560153538	0.741772051355	0.140920689379	0.0746114533558
i	0.0162322680292	0.0110090682846	0.490713158452	0.218501073126	0.263544414452
p	0.0135987201431	0.0091778489282	0.196714380817	0.318628214375	0.461880821484
l	0.00971770418103	0.0177280828094	0.107227883606	0.267937254792	0.597389057161
i	0.00989487139368	0.0218365649365	0.055975163202	0.263603964931	0.64868943572
m	0.00670873456456	0.0182156483122	0.0253748260673	0.37424560831	0.57545519524
è	0.00573045162152	0.0154778292041	0.0131294138891	0.36607298277	0.599589348413
n	0.00719444420717	0.0236575395014	0.00758466416303	0.431482484257	0.530080892804
o	0.00598597236906	0.0251326189671	0.00508110522101	0.385587475752	0.578212817601
</S>	0.00396379113453	0.0133991311835	0.0034045373605	0.209261944376	0.769970573801
