 	non	deve	magniare	la	sera	</S>
e	0.85892295	0.118340926	0.01222034525	0.00349218001	0.0018033222878	0.0052203269
n	0.589250016667	0.352488298667	0.0131356310833	0.00396428917	0.00201793962927	0.0391438146333
è	0.271309749889	0.667501556222	0.0094734653611	0.00249150752333	0.000939296089757	0.0482843725444
n	0.12546732763	0.737707208741	0.0079191124537	0.00278440180778	0.0103110605766	0.115810825181
a	0.06509228321	0.74840034958	0.0304448864846	0.00471079826926	0.0135009376355	0.13785070966
f	0.03604457407	0.676421213193	0.0625564271615	0.0288115334231	0.0164175296552	0.179748731153
à	0.05142606369	0.438973134398	0.216974104054	0.0802913644744	0.0175376447184	0.194797717918
i	0.0475186848967	0.248364726466	0.406825584685	0.200167148158	0.0170739374061	0.0800499521727
t	0.0173434257989	0.116681634822	0.398365811562	0.330532049386	0.0322846201354	0.104792499391
o	0.0070877983663	0.0743361509407	0.328679773854	0.447637036462	0.0382129173785	0.104046315464
v	0.00377166745543	0.0514349696469	0.229657551285	0.528766365487	0.0752385831262	0.111130820821
r	0.00342561501848	0.0335729502156	0.114833593762	0.409112698496	0.0997735493754	0.339281570274
à	0.00870255213949	0.0258011700719	0.0766159079207	0.332813632832	0.176184371458	0.379882356758
i	0.0093390355465	0.0181020273573	0.0549607629736	0.275433474277	0.322632437153	0.319532272253
</S>	0.00519254502325	0.0129961736786	0.0376180119868	0.171403897138	0.378806608577	0.393982786127
