 	voglio	che	Maria	che	venga	domani	</S>
i	0.98239085	0.015014866	0.00197572263	0.000380088888	4.9830045e-05	8.1053625e-06	0.0001805605775
t	0.861831383333	0.0681144576667	0.0600417943433	0.000894097476	0.000407576481667	5.93949708333e-05	0.00865128097917
è	0.587906027778	0.308653575889	0.0903475114478	0.000979636415333	0.000528451127222	7.60868912778e-05	0.0115086781531
l	0.494847689259	0.388567321963	0.0989673071493	0.000737688805111	0.000490840892407	0.000133253634759	0.0162559195444
o	0.376104024253	0.462161620654	0.14260418905	0.000793183961704	0.000490876127469	0.000149635188386	0.0176965454011
k	0.137141768918	0.444887373551	0.408903319683	0.00116397817057	0.00126938482249	7.1576008262e-05	0.00656264842003
a	0.0849687579727	0.39353760785	0.503178226561	0.0126023963235	0.00274307187416	4.82391974207e-05	0.00292170447001
i	0.0632452409909	0.384043082617	0.51480052552	0.0284051051078	0.00820923369139	5.89622931402e-05	0.00123782867667
M	0.027526384997	0.221684410872	0.700310928507	0.0330952607026	0.0151987102305	8.16252523801e-05	0.00210269514889
a	0.0366150733323	0.295219966957	0.532550929502	0.0996095849009	0.0336442390768	0.00010134412746	0.00225889910963
r	0.0661843577774	0.283316397319	0.359720629834	0.176962201634	0.112323166359	0.000319273449153	0.00117398286321
ì	0.251649795926	0.207316654106	0.244474696278	0.174694390545	0.120629902286	0.000441399296384	0.00079315799307
a	0.283483177909	0.151918470702	0.0965791100927	0.257360870182	0.187120277595	0.0181792666121	0.00535884626969
n	0.095503483303	0.0744569039007	0.0667375583642	0.368934976727	0.338604415865	0.044476634204	0.0112860862566
a	0.095735862501	0.239284968967	0.0609712994547	0.302685882242	0.252136167288	0.0372150836013	0.0119707989189
r	0.0955263960003	0.284801624656	0.0472894564849	0.187362470747	0.137612717763	0.2247453424	0.0226620263063
t	0.214683267167	0.149055239885	0.0295229781616	0.140069196916	0.109295575921	0.3032340908	0.0541396681021
i	0.254768211922	0.106368373295	0.0340029477205	0.156505688972	0.081902630307	0.141597286933	0.224854886034
à	0.085905941274	0.052787617765	0.0351876315735	0.153720446324	0.105070111769	0.185252058978	0.382076202011
v	0.0290930049913	0.0249264945883	0.0186161065245	0.0957820534413	0.0910759975897	0.461482769659	0.279023564004
v	0.0153562117971	0.0629946301961	0.0249520928415	0.24245633248	0.0414384471966	0.45124712722	0.161555124668
r	0.031624870599	0.180259616732	0.0514409722805	0.433939900827	0.0182618351655	0.169378346407	0.115094418223
i	0.0321282658663	0.172101412577	0.0473720860935	0.326301996942	0.0113374051552	0.062676994569	0.348081822741
</S>	0.0169215964331	0.0930365667885	0.0283428860468	0.198545333471	0.0112108800776	0.0318752659345	0.620067461371
