 	oggi	io	non	ho	cosa	da	fare	</S>
s	0.97894675	0.014470323635	0.000894942917	0.00123421689175	0.0004119011532	0.00024417501866	0.00129028739701	0.0025073521227
ì	0.960635266667	0.030988914545	0.001147708659	0.00185185269725	0.0005080462044	0.00027924661622	0.00133291992234	0.00325597887423
m	0.922083772222	0.0446301528483	0.00371150550633	0.00239668913242	0.000571382188133	0.000360850865407	0.00684149579745	0.0194041185581
m	0.902359257407	0.0434578576161	0.00713094766878	0.00705530771081	0.00616176332938	0.000919361171802	0.00878257003248	0.0241329475527
e	0.731615059136	0.232479934539	0.00738617245626	0.0086100599036	0.00775218174979	0.000881795581601	0.00307685872923	0.00819795300757
r	0.455071536379	0.470512224846	0.0217717017188	0.0154306529679	0.00655789788993	0.0071906899182	0.0112160048615	0.0122493044592
i	0.287872318793	0.589977221615	0.0584961539063	0.020331500656	0.00641795101664	0.00935391276607	0.0139542346518	0.0135967415931
e	0.149674083598	0.735663953872	0.0820440213021	0.0154031858853	0.00267195205888	0.00343453793202	0.00506309458193	0.0060451914377
v	0.0798895735327	0.812670384624	0.0758433937674	0.0195023586284	0.00177440908629	0.00178869396067	0.00227490489398	0.00625624661257
ò	0.0772878695109	0.668414251541	0.201781774589	0.0394248288761	0.00340756019543	0.00194044568689	0.00122116236466	0.00652206153752
e	0.057220820837	0.376581080514	0.313083784863	0.107914098292	0.0536879464985	0.0474748731623	0.0291485604882	0.0148888205125
n	0.0334078809457	0.199632053505	0.287883068288	0.167399306097	0.102938310499	0.0746708743874	0.0706216318294	0.0634468701708
è	0.0402051526486	0.125303581168	0.287470442763	0.223393642032	0.1083794285	0.0802878947958	0.0609144659431	0.0740453667236
c	0.0716233048829	0.0803686557227	0.214070984254	0.202361110677	0.0948955438333	0.0826003602653	0.0921309673144	0.161949045575
h	0.0647105276276	0.0490969114742	0.0925850220847	0.0905761328923	0.344840818944	0.0584676567551	0.111003027438	0.188719865525
o	0.0258424255425	0.0187101709581	0.0324893434616	0.0442925059641	0.561085239648	0.172467530252	0.055493719146	0.089619040175
t	0.0131592727475	0.0130145952194	0.0126181321539	0.0276395263214	0.402557663216	0.226245138084	0.141701128049	0.163064554725
i	0.0122377108158	0.0127314044065	0.0083979929513	0.0208942567738	0.215567814405	0.319348734028	0.211984812683	0.198837313242
k	0.0122282852719	0.0124953394688	0.00880252845043	0.0201370395913	0.0971200358017	0.372503111343	0.268259520894	0.208454199414
à	0.0197071807573	0.0128182051563	0.0154999136168	0.0214190678638	0.0512225186006	0.344673037114	0.330181576965	0.204478499805
m	0.0216876383858	0.00967355271877	0.0157852744056	0.0209090917213	0.0353488332002	0.331041852371	0.374315948988	0.191237793268
i	0.0111059968286	0.00520143230626	0.00693043616853	0.0123071053404	0.0221548257334	0.176164071457	0.368804136329	0.397332027756
</S>	0.0079659592643	0.00358658375313	0.00541260533427	0.0110140811702	0.0168259728667	0.110200106729	0.288749548164	0.556245183878
