 	sembra	che	il	ladro	è	entrato	da	qui	</S>
i	0.971347275	0.0145558515	0.0084927964	0.00227723621	0.001759425262	0.00033542265	0.0003055739639	0.000205096849605	0.0007213574578
f	0.937778391667	0.0270247995	0.0150149684667	0.00803973917	0.003078714254	0.000759613206667	0.000430438894633	0.000253565756535	0.00761986091927
è	0.838079877222	0.1071669065	0.0303049801556	0.01055218559	0.00274429995133	0.000872437135556	0.000286846836878	0.000142180320845	0.00985034083976
n	0.691634619074	0.1647644255	0.0356749653852	0.01297661373	0.0112312579838	0.00419993311185	0.000540949900959	0.00122194669228	0.0777553021466
e	0.422506014025	0.324668041833	0.117070180462	0.0144171502433	0.0137724509213	0.00538859045395	0.000609520715853	0.00157321645686	0.0999947991655
t	0.182606122342	0.455789857278	0.211567800154	0.0458194707478	0.0296298762338	0.00795422890132	0.000886111554151	0.000773321878387	0.0649731348385
e	0.0980278987807	0.335101469093	0.397280306718	0.0688548052493	0.0361430812779	0.00976674676711	0.000996243562384	0.000507880521329	0.0533215536675
k	0.0475809075936	0.211818323031	0.524927062239	0.118519888416	0.0411553162926	0.0143413687224	0.00120418526513	0.00040667075231	0.0400463519438
a	0.0297775085312	0.135316554344	0.506970047413	0.218401012805	0.0515094944309	0.0205006115741	0.00139405752171	0.00037849402977	0.0357523085679
o	0.0148925866271	0.0692312121147	0.406964402471	0.450035324268	0.0320104558103	0.0138998615247	0.00066735546057	0.00013562773739	0.0121631809626
l	0.0059863555257	0.0288716020382	0.219418920824	0.681076464756	0.0371777306034	0.0193960321749	0.000636624873523	9.248561093e-05	0.00734374384087
à	0.00960151670857	0.0233275150127	0.138126123608	0.693380011585	0.0838882935345	0.0410465073916	0.00340348489117	0.00013418484031	0.00709235061362
d	0.0103063212562	0.0203234030042	0.0818228112027	0.586596080528	0.126747317845	0.148291569131	0.00519707903039	0.0011372143501	0.0195782142045
r	0.00624753577207	0.0284753430014	0.0520417924009	0.354980123509	0.102843128282	0.40986823971	0.0035997406768	0.00303839045003	0.0389057207348
o	0.00534033945736	0.0306512423338	0.049414549467	0.154555889836	0.298814201761	0.41395929657	0.0131029768256	0.00270519444334	0.0314563040449
m	0.00258904100579	0.0140155469113	0.035772292489	0.091344978612	0.358533735587	0.461412898857	0.0167097164752	0.00133355340778	0.0182882864816
b	0.00453525565526	0.0115609307704	0.0290665308297	0.0647080528707	0.190605996862	0.657516842952	0.0195293073584	0.00228904553593	0.0201881148272
ì	0.00536398678509	0.0102135499568	0.0250451736099	0.0383808129569	0.379460548954	0.437532976984	0.0823231924528	0.00281597667864	0.0188638029424
k	0.0021081975017	0.00608972891893	0.0124643240366	0.0210182586523	0.382933984318	0.459425811661	0.0938822224843	0.00413915229288	0.0179383666475
e	0.0033408871739	0.00789742087298	0.0118667551789	0.0144248158841	0.236782119439	0.46590782622	0.227216952495	0.0167219887643	0.0158413200825
a	0.00390790325797	0.00789870229099	0.013253441393	0.016690859628	0.19767473648	0.168481132407	0.553976650832	0.0258505482548	0.0122661128942
p	0.00196387011932	0.00679090176366	0.0115949374643	0.0224344482093	0.0922579888267	0.0657719621357	0.739995683611	0.0341735744183	0.0250166682981
ò	0.00192785730644	0.00646633058789	0.00927376982143	0.0173112532364	0.0460670082756	0.0288324497119	0.792150094537	0.0603910101394	0.0375801714327
t	0.00160686270215	0.00593777119596	0.00541863397381	0.00921584924547	0.0225609494252	0.0200853262373	0.579503538179	0.31487348138	0.0407975308109
t	0.00264535083405	0.0285600943987	0.00915947635794	0.00741760374849	0.0214960091417	0.0362265807458	0.254143529393	0.507742093793	0.132609241937
u	0.00311022031135	0.0344276260662	0.0102837606526	0.00649800691616	0.0314239893806	0.0353024825819	0.129475817798	0.478196477931	0.271281600646
</S>	0.00190189955568	0.0180205479331	0.0062431221263	0.00560382945808	0.0357036921903	0.0184749127909	0.099646005899	0.493953008965	0.320452960323
