 	devo	pulire	l'	albero	</S>
è	0.73550707	0.20760673675	0.004340682925	0.00322875514	0.0493167315925
n	0.439031136667	0.432998095583	0.004976325975	0.00351904654667	0.119475362197
a	0.182562605669	0.703440365194	0.00238933652167	0.00151384069189	0.110093812392
k	0.0674336456697	0.872686835065	0.00370544003722	0.00104037540696	0.055133684124
a	0.0335916188899	0.875533058355	0.0480848170124	0.00128851300232	0.0415019813747
t	0.02188403963	0.802467519452	0.0829304123375	0.00280738090077	0.0899106321249
à	0.0246301248767	0.650815689817	0.213844370779	0.00360032136692	0.107109456708
r	0.0234231882922	0.449394256606	0.389958396926	0.0230259558556	0.114198171569
o	0.0151900194307	0.254407990869	0.551327632309	0.0462658436185	0.132808473856
t	0.00940477861023	0.17845323229	0.582228784103	0.0849724945395	0.144940671285
o	0.00502441733674	0.182536210763	0.471040458034	0.157106301513	0.184292590428
n	0.00433888061225	0.195430130254	0.336585109345	0.194415393838	0.269230440143
à	0.0198987543708	0.161669630085	0.165757116448	0.279036987946	0.373637463381
r	0.0238371308236	0.0753131810283	0.0972196921493	0.516889962649	0.286739999794
b	0.0164280609745	0.0334388001428	0.0892921707164	0.72798458755	0.132856343598
u	0.0140828523915	0.0178247731809	0.143690993572	0.573038302517	0.251363042866
r	0.00592541446383	0.0200770570603	0.149225772524	0.539192724172	0.285578992622
o	0.00620424842128	0.0295818013534	0.120645772175	0.517178831391	0.326389295874
</S>	0.00826056521064	0.0341347516767	0.135501951088	0.317028225695	0.505074447937
