 	ho	finito	di	scrivere	</S>
s	0.57640301	0.084682617	0.06130859627	0.15452452861	0.123081270135
p	0.28245439	0.340665015667	0.0944465154233	0.15529224727	0.127141809378
ì	0.149485432	0.666305471889	0.0800621984744	0.0531650551567	0.050981817126
c	0.0731431421667	0.797664623963	0.0549952811581	0.0231443567189	0.0510525803753
c	0.0360093502222	0.760380084654	0.073546095386	0.048074705573	0.0819897351251
e	0.145542300074	0.555639491551	0.182910581795	0.051901401591	0.0640061748417
t	0.175026229225	0.569420997184	0.199112730598	0.0262637902637	0.0301761977472
s	0.107961978942	0.527650699061	0.272679133533	0.0427608447546	0.0489473172491
a	0.0886885159807	0.22877823302	0.581969024511	0.0414130257182	0.059151189083
à	0.0381598534936	0.0878642190067	0.805730144837	0.0274758537061	0.0407698986943
t	0.0264480616645	0.0605345510022	0.626290061612	0.200596810235	0.0861304918981
s	0.0362354892215	0.115563767001	0.282597997204	0.270107255078	0.295495480633
e	0.0397303964072	0.108866557	0.235537285735	0.119749743693	0.496115993544
g	0.0268781758024	0.056388287	0.259065705245	0.205283944898	0.452383864515
r	0.0274857182675	0.0797745223333	0.276815778415	0.247621971633	0.368302001505
à	0.0311380647558	0.0716416885778	0.230887661138	0.365617633878	0.300714920502
t	0.0226950039186	0.0302302073259	0.101849317713	0.583679431293	0.261546003501
s	0.0293978289729	0.0310029757753	0.0645706059043	0.654872590431	0.2201559725
i	0.0280364963243	0.0262125230251	0.0579070663014	0.57527126681	0.312572638833
</S>	0.0161942261622	0.0138769331626	0.0623004731507	0.430531568405	0.477096819417
