 	il	vino	buono	deve	essere	invecchiato	</S>
o	0.70374447	0.262992845	0.004929568788	0.0077768917767	0.0183999727789	0.0002863522158	0.0018698342053
k	0.460677888	0.503696248333	0.00564410192933	0.00797942809223	0.0186802938263	0.0002874735743	0.00303453446843
r	0.251004720667	0.727111402778	0.00957995830978	0.00336502999741	0.0065673994621	0.0001008038568	0.00227069342281
a	0.364087400222	0.578482530926	0.0508925704366	0.00267936313247	0.0025827680407	4.56447832667e-05	0.00122974154094
s	0.321909643741	0.580943533642	0.0790841901455	0.00893433704416	0.0029002839469	5.69586207556e-05	0.00617107641365
ì	0.22938189158	0.488137133881	0.258180540048	0.0136632326814	0.0030308964823	6.59876439185e-05	0.00754033613788
k	0.20748228786	0.30185243396	0.405266330016	0.0365741468938	0.00901186566077	0.000559344943306	0.0392536133793
a	0.145909889953	0.23545507342	0.506086943339	0.0506495629646	0.0113170877203	0.000730221177769	0.0498511954798
l	0.120055891318	0.139536956573	0.61762064778	0.0634616116549	0.0151580610734	0.000533951669256	0.0436328595133
ò	0.0651390517727	0.105548695391	0.54387339926	0.224065467218	0.0191607283578	0.000467399824085	0.0417452609711
e	0.0348289200909	0.036127359997	0.383283203087	0.485190792406	0.0446679261193	0.000370801995695	0.0155309286904
n	0.0149655825303	0.017822860999	0.203896607696	0.673501180802	0.0728947033731	0.000564480131898	0.0163545094635
a	0.00833417417677	0.0108693009457	0.0998184438987	0.794984410267	0.0697094544577	0.000645715477299	0.0156384981878
è	0.0154052367256	0.00521464859457	0.0625947259662	0.832799086756	0.0628469638192	0.00354513652577	0.0175942037626
n	0.0186030090752	0.00394842129819	0.0474329919887	0.717833828919	0.118241923606	0.0584242698419	0.0355155419209
e	0.0105284315251	0.00199016697273	0.0301537573296	0.58544760964	0.254162694535	0.0826748939473	0.0350424339736
a	0.00852620350837	0.00145561543091	0.0327001537765	0.468114953213	0.338800258178	0.101838805316	0.0485639859912
n	0.0117951971695	0.0050778043103	0.0301329642588	0.308902941071	0.265717552726	0.235924578439	0.142448968664
v	0.0388558337232	0.00656234383677	0.0229549674196	0.158629092357	0.124065810409	0.359785152813	0.289146796221
e	0.0430674422077	0.00335186469226	0.0183204684732	0.087250566119	0.182216566303	0.342056880938	0.323736195407
k	0.0182270203692	0.00477840574409	0.0131779749911	0.0659973770397	0.207346696434	0.427181946979	0.263290565136
k	0.0851224204564	0.0182407029147	0.0340981888304	0.0420472330132	0.083228387478	0.512662208993	0.224600851712
i	0.105746128485	0.0192754773982	0.0427409246101	0.0473991433377	0.078591466826	0.437429569664	0.268817303904
à	0.0366892656283	0.00652171687607	0.0195628415367	0.0400643867792	0.076875242942	0.535701396555	0.284585157968
t	0.0130431765294	0.00225912684536	0.00835936236223	0.0174333219264	0.0323940237807	0.764628665518	0.161882315989
o	0.0071051020298	0.000899456788453	0.00706875263741	0.0136939163088	0.0283626367269	0.692437921839	0.250432211996
</S>	0.0072270455149	0.000589228799226	0.00960499381871	0.0179887156544	0.0396432083634	0.51078716092	0.414159655998
