 	dei	genitori	</S>
à	0.57218081	0.29020109158	0.137618093
t	0.322317956667	0.446916647193	0.230765387667
t	0.438324128889	0.349521985731	0.212153884222
u	0.616110886296	0.179024523577	0.204864579741
s	0.429136693099	0.367905582859	0.202957723247
g	0.308783635366	0.508872160953	0.182344217749
e	0.339183511789	0.356150160318	0.30466634925
n	0.19620074393	0.506042293439	0.29775696975
i	0.22911328131	0.485785032146	0.285101656583
t	0.244592359437	0.467791811715	0.287615798861
ò	0.152501998812	0.584253423905	0.26324456962
r	0.120318179604	0.642328427968	0.237353391207
u	0.0504310212013	0.523171262656	0.426397718402
</S>	0.0297676826006	0.266639511328	0.703592809201
