 	cosa	fa	Anna	il	sabato	mattina	</S>
t	0.938011465	0.02443611581	0.0032874606133	0.0054743291121	0.00244305858335	0.00120946891997	0.0251380724288
i	0.668194148333	0.290405166603	0.00669973963777	0.00562446211737	0.00259633387112	0.00122416284899	0.0252559389363
k	0.338530209444	0.575630065534	0.0248006348793	0.00343055168579	0.00172443876704	0.00073858992533	0.0551454497721
à	0.177170716481	0.715278688511	0.0378163759598	0.00269772460526	0.00134322087901	0.00057243233511	0.0651207358007
n	0.084252738827	0.745072119504	0.0505255396533	0.00216520707842	0.003587193783	0.00049422353837	0.113902891144
n	0.306185686276	0.494999039835	0.0530528435511	0.00782365475947	0.00602099092767	0.000532262499457	0.131385473481
i	0.445529018759	0.456551123278	0.035072970517	0.0121386055865	0.00468117040922	0.000259811310819	0.045767250027
e	0.227588496453	0.403342652426	0.337916739172	0.0121791028622	0.00269631550307	0.00011002088394	0.016166634809
A	0.0891838100177	0.162662234475	0.718067589724	0.0190502296207	0.00429430476769	0.000225986860647	0.006515811703
n	0.0430821310726	0.0751737794917	0.842291749908	0.0242591325402	0.00775668458923	0.000402843670216	0.00703366063433
n	0.0367570170909	0.0588660454972	0.608597313969	0.107470174513	0.0561275818631	0.0270339003301	0.105147952545
a	0.040347299697	0.0667268384991	0.21910061699	0.396609418171	0.103299413954	0.0360832422434	0.137833148182
o	0.020005735799	0.041265965833	0.102322530663	0.655767086057	0.115550827985	0.0135469112811	0.051540921394
s	0.00830743619967	0.0273701949443	0.104992353554	0.548220242019	0.239700945995	0.0077191362937	0.063689701798
à	0.00744970176656	0.0235756836481	0.081796908318	0.371906590673	0.434856088665	0.0125564578979	0.0678585966993
m	0.00688436675552	0.019465018216	0.0313555225727	0.302981716891	0.537109749555	0.0316029226326	0.0706007283331
b	0.0182256717518	0.0154606504053	0.0139467868576	0.206846518964	0.601831706518	0.0582538858775	0.085434810111
a	0.0216581828839	0.00704978390177	0.00590976200253	0.163901206321	0.494006098839	0.229887081959	0.0775878853703
p	0.00817207852797	0.00497519396726	0.00216634349418	0.12778803544	0.329276829613	0.437719393986	0.0899021097901
o	0.00476911344266	0.00862284622242	0.00190278604139	0.12714913848	0.235165243204	0.523570817995	0.0988200765967
r	0.00435517738089	0.0188864707408	0.00252452044713	0.120451494827	0.164078244401	0.521940759332	0.167763345532
n	0.0114913723603	0.0217932665803	0.00178908891571	0.074680403609	0.162035301467	0.503557553111	0.224652988511
ò	0.0139113101201	0.0135874545268	0.00082602377857	0.0805641895363	0.108928089822	0.437767667704	0.344415242837
</S>	0.00861455156005	0.0090590992634	0.000569219949285	0.0911150072682	0.070076228911	0.352364308852	0.468201571418
