 	lo	posso	finire	di	fare	</S>
t	0.8772001	0.08302751285	0.0032376006243	0.00384443139325	0.014555170272	0.018135182468
o	0.765436316667	0.192938124283	0.00415717287477	0.00391358989775	0.014636354984	0.018918428256
s	0.524534305556	0.432520214761	0.00550402849159	0.00329501766592	0.007398198888	0.0267482285187
ò	0.341867185185	0.59037952492	0.0297584261639	0.00322452308864	0.004993155296	0.0297771904396
z	0.258376693728	0.511490624973	0.099687900388	0.00791518382955	0.0265382917653	0.0959912950799
o	0.200342163243	0.398355001658	0.238626500129	0.0118584696099	0.0336733236851	0.117144514393
s	0.158967914581	0.301943350553	0.459885880043	0.0126291505366	0.0158768854917	0.050696780831
p	0.184407665027	0.188451436851	0.492577276681	0.0422059341789	0.0578314629972	0.0345262156103
i	0.211470177009	0.125476910617	0.509446442227	0.065170130393	0.0674687708324	0.0209676105368
c	0.0966910586697	0.090682394539	0.642445994076	0.058265759131	0.0630178687775	0.0488969535123
c	0.0631283822232	0.0630646321797	0.616751934692	0.0658618730437	0.0887593649258	0.102433811171
è	0.0760552057411	0.0582690367266	0.468275754897	0.253901811015	0.0584409729753	0.0850571937237
t	0.0528763951804	0.0396023205755	0.524289558299	0.318184209005	0.0290835063251	0.0359639839079
s	0.0387845483268	0.0233392939585	0.516051469433	0.240251558335	0.146719932775	0.034853210636
i	0.0364751761089	0.0144680277528	0.238611090144	0.437548592778	0.203536524258	0.0693606235453
t	0.016308688203	0.0191788715843	0.213045360381	0.445780420926	0.182727808086	0.122958861182
s	0.0154963745677	0.0179599481948	0.208252335127	0.275205510309	0.345320002695	0.137765797061
è	0.0154567739892	0.0089011016316	0.0811082361423	0.217502870103	0.499007834232	0.178023152354
k	0.0106262461297	0.0559440044439	0.0852129581474	0.185386606701	0.454549178077	0.208281004118
à	0.0287877187099	0.0807265914813	0.0880747913825	0.1533813089	0.410345532692	0.238684031373
m	0.03247176337	0.0540215638271	0.0452512537942	0.0954020986333	0.455887794231	0.316965470458
i	0.0155130529233	0.036961322609	0.0290625764647	0.0690452885444	0.36699577141	0.482421963486
</S>	0.0120793464617	0.0214065983045	0.0157277340324	0.0597009642722	0.266110580705	0.624974781743
