 	io	non	ho	niente	da	mangiare	</S>
e	0.972514155	0.015435514	0.0053462023	0.001179042425	0.00070153795468	0.00143288170469	0.0033905539777
v	0.930538271667	0.043122781	0.00871434843333	0.00381250804167	0.000857797878227	0.00151018852823	0.0114440764259
ò	0.779946290556	0.180568783667	0.0184433178111	0.00475330634722	0.000536843252742	0.000732219626077	0.0150192498086
e	0.497978350185	0.431434051222	0.043192523937	0.00614159711574	0.00377259041758	0.00151500836536	0.0159658856029
n	0.249119356728	0.521098183741	0.0749161093123	0.0367028537052	0.00912624480586	0.00600695865512	0.103030301201
è	0.148190598909	0.496784061247	0.159458531104	0.0545594049017	0.00836264850195	0.00670538068504	0.125939395067
c	0.12027048297	0.373432420416	0.165852843701	0.206037369967	0.00493996166732	0.00456653252835	0.124900409689
h	0.0862126576567	0.154541759805	0.100104451234	0.526604589989	0.00391456232244	0.00490261434278	0.123719400663
o	0.0482660565522	0.0546039725017	0.0780009794113	0.77040364333	0.00306159094081	0.00319989281426	0.0424638573543
t	0.0219533077174	0.0213889236006	0.0482217861371	0.822162277777	0.00845011664694	0.00672744163809	0.0710960721514
ì	0.0215050414391	0.0174831507335	0.0463358660457	0.757039309259	0.065247135549	0.010811830546	0.0815775954171
p	0.0198468221297	0.0144783477112	0.0369607251819	0.802726783086	0.082846170183	0.00733632904867	0.0358047711724
o	0.0110019060266	0.0069778524704	0.016954805894	0.775031941029	0.134211631728	0.0146196028829	0.0412022450575
t	0.00848050250887	0.00524771852347	0.012200987298	0.640463480343	0.218216227243	0.0197375426276	0.0956535316858
i	0.0102348316696	0.00739948710782	0.013010072766	0.449153032114	0.319229279081	0.0816022625425	0.119371020562
n	0.0123387287899	0.0122151400359	0.018653946922	0.257712372705	0.418750993027	0.119885997514	0.160442836854
a	0.0165628821633	0.0184907846786	0.022759118974	0.159986652568	0.367792711009	0.233258075838	0.181149804285
f	0.0170140828544	0.0189302868929	0.0238992463247	0.102084159189	0.30664405367	0.288171388613	0.243256806762
à	0.0140070940848	0.015713326631	0.0227826671082	0.0770577375963	0.237992384557	0.362381226204	0.270065557254
o	0.0128794735283	0.0119876184103	0.0158141363694	0.0346194127321	0.135759982852	0.442704218735	0.346235140751
</S>	0.00789460001415	0.00696438150515	0.0091036866847	0.0278550848661	0.089822698426	0.361885974368	0.496473570375
