 	non	ho	dove	d'	andare	</S>
e	0.943776715	0.03128927	0.008173657	0.0022212574675	0.0058010910178	0.0087381100825
n	0.728213051667	0.0812150033333	0.0538365773333	0.0061801218225	0.00759422833927	0.122961062361
è	0.393268623889	0.296852381111	0.134233505778	0.0076987801075	0.00587676677976	0.162069946787
c	0.210812097963	0.34338460537	0.164577115259	0.00962308453583	0.0146225812599	0.256980518262
h	0.108451175321	0.15255651679	0.430386665086	0.00957195984528	0.0165816930866	0.282452058687
o	0.041409143207	0.0623816432633	0.777097905029	0.0170107206151	0.0065028793622	0.0955978112623
p	0.0194073395023	0.0397045000878	0.843109751676	0.050913232205	0.00825152312073	0.0386137055208
u	0.0133593131674	0.0322041286959	0.568231790559	0.349752309402	0.0139863353736	0.0224661481736
è	0.0083284914558	0.0200201588986	0.20482202842	0.704719769801	0.0456069417912	0.0165026407245
n	0.0040587864186	0.0126934829662	0.0769664343733	0.624835169934	0.225784647264	0.0556614945748
a	0.00546526617287	0.0142998423221	0.0358332847911	0.333690414645	0.498000162421	0.112711038192
p	0.00576296149096	0.0138751034407	0.021649941597	0.139717637882	0.620675390807	0.198318972731
à	0.00688641093032	0.0166053304802	0.0193250628657	0.060245534294	0.676498096936	0.22043956091
o	0.00724638231011	0.0152934426934	0.0149098077552	0.0323108444313	0.693880718979	0.23635880697
</S>	0.00407685040505	0.0092320001467	0.0110338705776	0.0218593217156	0.65576335949	0.298034618485
