 	credo	che	stanno	ancora	svegli	</S>
p	0.98719355	0.00124932465	0.001271585424	0.0026216465329	0.00259679909158	0.00506714143025
i	0.983185133333	0.00383759968333	0.00227891497467	0.00267559550097	0.00260059832386	0.00542224277675
s	0.957838007778	0.0223698685611	0.00845654192489	0.00474019399032	0.00120367960129	0.00539172089225
t	0.948563249259	0.0292905668537	0.0108494765416	0.00552975619677	0.000734425131297	0.00503247369475
è	0.89625030642	0.0747167702846	0.0247439337472	0.00222902126559	0.000245142005622	0.00181484512892
o	0.614814148807	0.287240630095	0.0711284925824	0.00940603242186	0.000941583399531	0.0164691678763
k	0.305165519602	0.440057530032	0.159290820861	0.0288141768073	0.00319800979984	0.0634739792921
a	0.185749786534	0.401637003344	0.316830860287	0.0289651620691	0.00309408092395	0.0637231274307
s	0.115779583178	0.343493267781	0.473288186762	0.0284482884897	0.00294032263198	0.0360503441436
t	0.108102085393	0.245344065927	0.584735462254	0.0310091014966	0.00289480805799	0.0279144570479
è	0.124253635131	0.149600698642	0.674052710751	0.0391159524989	0.00098183199333	0.0119951779493
o	0.069617580377	0.107770124881	0.57306102025	0.225897404166	0.0106308294578	0.0130230685831
n	0.029851879459	0.0843863902937	0.342628760083	0.436050291389	0.0430145784859	0.064068114861
e	0.0325495748197	0.0695486887646	0.176115438028	0.592050563796	0.0453573223953	0.0843784359537
a	0.0316429902732	0.0439371609215	0.0714883030093	0.645833844599	0.152904960365	0.0541927753179
n	0.0128254256577	0.0305323063072	0.0290924493364	0.5574764382	0.295401343455	0.074672064106
k	0.0780145031192	0.0646013254357	0.0446163691121	0.434228576067	0.209149764818	0.169389491369
ò	0.123871434373	0.0784842461452	0.064577054704	0.462633555356	0.0837743672727	0.186659350456
r	0.068333691791	0.0509523617151	0.0499933699013	0.642902005119	0.0888655844242	0.0989529768187
a	0.067591917597	0.046492766905	0.0421398299671	0.678969578373	0.0854039548081	0.0794019422729
a	0.065925824519	0.0347340597017	0.0286034364424	0.444978485791	0.332750568269	0.093007624091
t	0.0223705123463	0.0155218553006	0.0100781172341	0.158792267264	0.728234102756	0.065003172697
s	0.0130307679688	0.0279309334335	0.00863045937803	0.0830783347547	0.603237814252	0.264091705566
ù	0.0145559043229	0.0415092618112	0.0112274147927	0.0596027795849	0.528837218084	0.344267416855
n	0.0108106892076	0.0375883219371	0.0107435235976	0.052395611195	0.735649586028	0.152812269952
n	0.0337802341692	0.0633477706457	0.0247186525325	0.147460350398	0.630758172009	0.0999348043173
i	0.0412403914897	0.0629088316486	0.0267018795108	0.160087487799	0.465835227336	0.243226166439
t	0.0158906998632	0.0325431186495	0.0159388335036	0.0822491735997	0.579145735779	0.27423243948
i	0.00731047688773	0.0214871088832	0.0118969077345	0.0546347595332	0.48431501126	0.420355730493
</S>	0.00482258494387	0.0131554984416	0.00661303721725	0.0335702422666	0.25686225463	0.684976365246
